Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Michael SchumacherMSC,Ferrari,67,1:29:42.724,10
2,6,Juan Pablo MontoyaMOY,Williams BMW,67,+4.217s,6
3,4,David CoulthardCOU,McLaren Mercedes,67,+24.993s,4
4,5,Ralf SchumacherRSC,Williams BMW,67,+33.345s,3
5,2,Rubens BarrichelloBAR,Ferrari,67,+45.495s,2
6,3,Mika HakkinenHAK,McLaren Mercedes,67,+64.868s,1
7,18,Eddie IrvineIRV,Jaguar Cosworth,67,+66.198s,0
8,19,Pedro de la RosaDLR,Jaguar Cosworth,66,+1 lap,0
9,10,Jacques VilleneuveVIL,BAR Honda,66,+1 lap,0
10,17,Kimi RäikkönenRAI,Sauber Petronas,66,+1 lap,0
11,7,Giancarlo FisichellaFIS,Benetton Renault,66,+1 lap,0
12,23,Luciano BurtiBUR,Prost Acer,65,+2 laps,0
13,8,Jenson ButtonBUT,Benetton Renault,65,+2 laps,0
14,21,Fernando AlonsoALO,Minardi European,65,+2 laps,0
15,22,Jean AlesiALE,Prost Acer,64,DNF,0
NC,14,Jos VerstappenVER,Arrows Asiatech,58,DNF,0
NC,16,Nick HeidfeldHEI,Sauber Petronas,54,DNF,0
NC,11,Heinz-Harald FrentzenFRE,Jordan Honda,48,DNF,0
NC,12,Jarno TrulliTRU,Jordan Honda,44,DNF,0
NC,15,Enrique BernoldiBER,Arrows Asiatech,29,DNF,0
NC,9,Olivier PanisPAN,BAR Honda,23,DNF,0
NC,20,Tarso MarquesMAR,Minardi European,7,DNF,0
