Pos,No,Driver,Car,Laps,Time/retired,Pts
1,5,Ralf SchumacherRSC,Williams BMW,69,1:34:31.522,10
2,1,Michael SchumacherMSC,Ferrari,69,+20.235s,6
3,3,Mika HakkinenHAK,McLaren Mercedes,69,+40.672s,4
4,17,Kimi RäikkönenRAI,Sauber Petronas,69,+68.115s,3
5,22,Jean AlesiALE,Prost Acer,69,+70.435s,2
6,19,Pedro de la RosaDLR,Jaguar Cosworth,68,+1 lap,1
7,11,Ricardo ZontaZON,Jordan Honda,68,+1 lap,0
8,23,Luciano BurtiBUR,Prost Acer,68,+1 lap,0
9,20,Tarso MarquesMAR,Minardi European,66,+3 laps,0
10,14,Jos VerstappenVER,Arrows Asiatech,65,DNF,0
11,12,Jarno TrulliTRU,Jordan Honda,63,DNF,0
NC,4,David CoulthardCOU,McLaren Mercedes,54,DNF,0
NC,9,Olivier PanisPAN,BAR Honda,38,DNF,0
NC,10,Jacques VilleneuveVIL,BAR Honda,34,DNF,0
NC,15,Enrique BernoldiBER,Arrows Asiatech,24,DNF,0
NC,6,Juan Pablo MontoyaMOY,Williams BMW,19,DNF,0
NC,2,Rubens BarrichelloBAR,Ferrari,19,DNF,0
NC,8,Jenson ButtonBUT,Benetton Renault,17,DNF,0
NC,21,Fernando AlonsoALO,Minardi European,7,DNF,0
NC,16,Nick HeidfeldHEI,Sauber Petronas,1,DNF,0
NC,18,Eddie IrvineIRV,Jaguar Cosworth,1,DNF,0
NC,7,Giancarlo FisichellaFIS,Benetton Renault,0,DNF,0
