Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Michael SchumacherMSC,Ferrari,53,1:27:33.298,10
2,6,Juan Pablo MontoyaMOY,Williams BMW,53,+3.154s,6
3,4,David CoulthardCOU,McLaren Mercedes,53,+23.262s,4
4,3,Mika HakkinenHAK,McLaren Mercedes,53,+35.539s,3
5,2,Rubens BarrichelloBAR,Ferrari,53,+36.544s,2
6,5,Ralf SchumacherRSC,Williams BMW,53,+37.122s,1
7,8,Jenson ButtonBUT,Benetton Renault,53,+97.102s,0
8,11,Jarno TrulliTRU,Jordan Honda,52,+1 lap,0
9,16,Nick HeidfeldHEI,Sauber Petronas,52,+1 lap,0
10,10,Jacques VilleneuveVIL,BAR Honda,52,+1 lap,0
11,21,Fernando AlonsoALO,Minardi European,52,+1 lap,0
12,22,Heinz-Harald FrentzenFRE,Prost Acer,52,+1 lap,0
13,9,Olivier PanisPAN,BAR Honda,51,+2 laps,0
14,15,Enrique BernoldiBER,Arrows Asiatech,51,+2 laps,0
15,14,Jos VerstappenVER,Arrows Asiatech,51,+2 laps,0
16,20,Alex YoongYOO,Minardi European,50,+3 laps,0
17,7,Giancarlo FisichellaFIS,Benetton Renault,47,DNF,0
NC,19,Pedro de la RosaDLR,Jaguar Cosworth,45,DNF,0
NC,23,Tomas EngeENG,Prost Acer,42,DNF,0
NC,18,Eddie IrvineIRV,Jaguar Cosworth,24,DNF,0
NC,17,Kimi RäikkönenRAI,Sauber Petronas,5,DNF,0
NC,12,Jean AlesiALE,Jordan Honda,5,DNF,0
