Pos,No,Driver,Car,Time,Gap,Laps
1,1,Michael SchumacherMSC,Ferrari,1:28.831,,28
2,11,Rubens BarrichelloBAR,Jordan Peugeot,1:29.446,+0.615s,30
3,6,Jacques VilleneuveVIL,Williams Renault,1:29.921,+1.090s,30
4,7,Mika HakkinenHAK,McLaren Mercedes,1:29.984,+1.153s,24
5,9,Olivier PanisPAN,Ligier Mugen Honda,1:30.150,+1.319s,31
6,5,Damon HillHIL,Williams Renault,1:30.415,+1.584s,28
7,8,David CoulthardCOU,McLaren Mercedes,1:30.420,+1.589s,23
8,2,Eddie IrvineIRV,Ferrari,1:30.430,+1.599s,17
9,15,Heinz-Harald FrentzenFRE,Sauber Ford,1:30.462,+1.631s,23
10,14,Johnny HerbertHER,Sauber Ford,1:30.570,+1.739s,26
11,12,Martin BrundleBRU,Jordan Peugeot,1:30.932,+2.101s,23
12,17,Jos VerstappenVER,Footwork Hart,1:31.182,+2.351s,23
13,3,Jean AlesiALE,Benetton Renault,1:31.513,+2.682s,24
14,4,Gerhard BergerBER,Benetton Renault,1:31.654,+2.823s,27
15,19,Mika SaloSAL,Tyrrell Yamaha,1:31.970,+3.139s,30
16,16,Ricardo RossetROS,Footwork Hart,1:32.563,+3.732s,27
17,21,Giancarlo FisichellaFIS,Minardi Ford,1:33.006,+4.175s,29
18,18,Ukyo KatayamaKAT,Tyrrell Yamaha,1:33.377,+4.546s,22
19,20,Pedro LamyLAM,Minardi Ford,1:33.439,+4.608s,27
20,23,Andrea MonterminiMON,Forti Ford,1:36.052,+7.221s,20
21,22,Luca BadoerBAD,Forti Ford,1:37.963,+9.132s,8
22,10,Pedro DinizDIN,Ligier Mugen Honda,1:51.765,+22.934s,10
