Pos,No,Driver,Car,Time,Gap,Laps
1,7,Mika HakkinenHAK,McLaren Mercedes,1:23.762,,29
2,5,Damon HillHIL,Williams Renault,1:23.801,+0.039s,30
3,8,David CoulthardCOU,McLaren Mercedes,1:23.850,+0.088s,30
4,11,Rubens BarrichelloBAR,Jordan Peugeot,1:23.976,+0.214s,28
5,3,Jean AlesiALE,Benetton Renault,1:24.160,+0.398s,28
6,9,Olivier PanisPAN,Ligier Mugen Honda,1:24.167,+0.405s,28
7,6,Jacques VilleneuveVIL,Williams Renault,1:24.257,+0.495s,30
8,12,Martin BrundleBRU,Jordan Peugeot,1:24.270,+0.508s,29
9,4,Gerhard BergerBER,Benetton Renault,1:24.285,+0.523s,29
10,15,Heinz-Harald FrentzenFRE,Sauber Ford,1:24.585,+0.823s,30
11,1,Michael SchumacherMSC,Ferrari,1:24.757,+0.995s,21
12,17,Jos VerstappenVER,Footwork Hart,1:25.112,+1.350s,23
13,18,Ukyo KatayamaKAT,Tyrrell Yamaha,1:25.322,+1.560s,29
14,21,Giancarlo FisichellaFIS,Minardi Ford,1:25.326,+1.564s,29
15,20,Pedro LamyLAM,Minardi Ford,1:25.441,+1.679s,30
16,19,Mika SaloSAL,Tyrrell Yamaha,1:25.615,+1.853s,29
17,2,Eddie IrvineIRV,Ferrari,1:25.688,+1.926s,29
18,10,Pedro DinizDIN,Ligier Mugen Honda,1:25.936,+2.174s,26
19,14,Johnny HerbertHER,Sauber Ford,1:26.143,+2.381s,26
20,23,Andrea MonterminiMON,Forti Ford,1:27.843,+4.081s,21
21,22,Luca BadoerBAD,Forti Ford,1:28.451,+4.689s,11
22,16,Ricardo RossetROS,Footwork Hart,1:28.512,+4.750s,26
