Pos,No,Driver,Car,Time,Gap,Laps
1,1,Michael SchumacherMSC,Ferrari,1:23.554,,16
2,5,Damon HillHIL,Williams Renault,1:24.281,+0.727s,27
3,18,Ukyo KatayamaKAT,Tyrrell Yamaha,1:24.359,+0.805s,28
4,2,Eddie IrvineIRV,Ferrari,1:24.477,+0.923s,18
5,6,Jacques VilleneuveVIL,Williams Renault,1:24.764,+1.210s,26
6,3,Jean AlesiALE,Benetton Renault,1:24.803,+1.249s,20
7,4,Gerhard BergerBER,Benetton Renault,1:24.832,+1.278s,25
8,19,Mika SaloSAL,Tyrrell Yamaha,1:25.234,+1.680s,29
9,7,Mika HakkinenHAK,McLaren Mercedes,1:25.403,+1.849s,23
10,15,Heinz-Harald FrentzenFRE,Sauber Ford,1:25.567,+2.013s,24
11,11,Rubens BarrichelloBAR,Jordan Peugeot,1:25.592,+2.038s,16
12,12,Martin BrundleBRU,Jordan Peugeot,1:25.705,+2.151s,25
13,10,Pedro DinizDIN,Ligier Mugen Honda,1:25.944,+2.390s,29
14,8,David CoulthardCOU,McLaren Mercedes,1:25.980,+2.426s,24
15,16,Ricardo RossetROS,Footwork Hart,1:26.065,+2.511s,19
16,17,Jos VerstappenVER,Footwork Hart,1:26.288,+2.734s,7
17,9,Olivier PanisPAN,Ligier Mugen Honda,1:26.422,+2.868s,18
18,20,Pedro LamyLAM,Minardi Ford,1:26.515,+2.961s,29
19,14,Johnny HerbertHER,Sauber Ford,1:26.700,+3.146s,24
20,21,Giovanni LavaggiLAV,Minardi Ford,1:28.356,+4.802s,27
