Pos,No,Driver,Car,Time,Gap,Laps
1,5,Damon HillHIL,Williams Renault,1:29.694,,30
2,1,Michael SchumacherMSC,Ferrari,1:29.799,+0.105s,30
3,3,Jean AlesiALE,Benetton Renault,1:30.019,+0.325s,29
4,7,Mika HakkinenHAK,McLaren Mercedes,1:30.033,+0.339s,24
5,19,Mika SaloSAL,Tyrrell Yamaha,1:30.140,+0.446s,28
6,15,Heinz-Harald FrentzenFRE,Sauber Ford,1:30.497,+0.803s,30
7,11,Rubens BarrichelloBAR,Jordan Peugeot,1:30.766,+1.072s,28
8,8,David CoulthardCOU,McLaren Mercedes,1:30.770,+1.076s,30
9,4,Gerhard BergerBER,Benetton Renault,1:30.890,+1.196s,30
10,9,Olivier PanisPAN,Ligier Mugen Honda,1:31.013,+1.319s,28
11,6,Jacques VilleneuveVIL,Williams Renault,1:31.082,+1.388s,29
12,2,Eddie IrvineIRV,Ferrari,1:31.368,+1.674s,28
13,18,Ukyo KatayamaKAT,Tyrrell Yamaha,1:31.408,+1.714s,26
14,20,Pedro LamyLAM,Minardi Ford,1:31.811,+2.117s,29
15,14,Johnny HerbertHER,Sauber Ford,1:32.038,+2.344s,29
16,17,Jos VerstappenVER,Footwork Hart,1:32.084,+2.390s,17
17,12,Martin BrundleBRU,Jordan Peugeot,1:32.176,+2.482s,29
18,21,Tarso MarquesMAR,Minardi Ford,1:32.359,+2.665s,29
19,10,Pedro DinizDIN,Ligier Mugen Honda,1:32.819,+3.125s,21
20,16,Ricardo RossetROS,Footwork Hart,1:32.833,+3.139s,25
21,23,Andrea MonterminiMON,Forti Ford,1:34.103,+4.409s,30
22,22,Luca BadoerBAD,Forti Ford,1:35.044,+5.350s,30
