Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,22,Yuki TsunodaTSU,AlphaTauri Honda,9,17:17:42,25.659,25.659
1,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,10,17:19:14,26.174,26.174
1,10,Pierre GaslyGAS,AlphaTauri Honda,13,17:23:37,25.630,25.630
1,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,15,17:26:54,25.987,25.987
1,33,Max VerstappenVER,Red Bull Racing Honda,17,17:29:03,25.300,25.300
1,63,George RussellRUS,Williams Mercedes,17,17:30:00,26.121,26.121
1,44,Lewis HamiltonHAM,Mercedes,18,17:30:21,25.235,25.235
1,6,Nicholas LatifiLAT,Williams Mercedes,18,17:31:31,25.811,25.811
1,11,Sergio PerezPER,Red Bull Racing Honda,19,17:32:28,25.419,25.419
1,47,Mick SchumacherMSC,Haas Ferrari,22,17:37:38,25.881,25.881
1,14,Fernando AlonsoALO,Alpine Renault,23,17:38:20,25.991,25.991
1,18,Lance StrollSTR,Aston Martin Mercedes,23,17:38:40,26.157,26.157
1,31,Esteban OconOCO,Alpine Renault,24,17:40:07,25.517,25.517
1,4,Lando NorrisNOR,McLaren Mercedes,25,17:41:32,25.319,25.319
1,3,Daniel RicciardoRIC,McLaren Mercedes,26,17:43:19,25.562,25.562
1,5,Sebastian VettelVET,Aston Martin Mercedes,26,17:43:20,25.726,25.726
1,55,Carlos SainzSAI,Ferrari,27,17:44:36,25.639,25.639
1,16,Charles LeclercLEC,Ferrari,27,17:44:46,25.799,25.799
2,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,30,17:49:40,25.633,51.807
1,9,Nikita MazepinMAZ,Haas Ferrari,31,17:51:36,26.515,26.515
2,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,32,17:52:43,25.347,51.334
1,77,Valtteri BottasBOT,Mercedes,33,17:53:44,36.341,36.341
2,22,Yuki TsunodaTSU,AlphaTauri Honda,34,17:55:29,26.674,52.333
2,10,Pierre GaslyGAS,AlphaTauri Honda,35,17:56:42,26.109,51.739
2,33,Max VerstappenVER,Red Bull Racing Honda,41,18:04:20,25.175,50.475
2,11,Sergio PerezPER,Red Bull Racing Honda,41,18:05:15,25.420,50.839
2,44,Lewis HamiltonHAM,Mercedes,42,18:05:37,25.381,50.616
2,4,Lando NorrisNOR,McLaren Mercedes,49,18:17:08,26.552,51.871
2,63,George RussellRUS,Williams Mercedes,49,18:18:36,35.006,1:01.127
3,33,Max VerstappenVER,Red Bull Racing Honda,55,18:24:59,25.465,1:15.940
