Pos,No,Driver,Car,Time
1,16,Charles LeclercLEC,Ferrari,1:41.218
2,44,Lewis HamiltonHAM,Mercedes,1:41.450
3,33,Max VerstappenVER,Red Bull Racing Honda,1:41.563
4,10,Pierre GaslyGAS,AlphaTauri Honda,1:41.565
5,55,Carlos SainzSAI,Ferrari,1:41.576
6,11,Sergio PerezPER,Red Bull Racing Honda,1:41.917
7,22,Yuki TsunodaTSU,AlphaTauri Honda,1:42.211
8,14,Fernando AlonsoALO,Alpine Renault,1:42.327
9,4,Lando NorrisNOR,McLaren Mercedes,1:41.747
10,77,Valtteri BottasBOT,Mercedes,1:42.659
11,5,Sebastian VettelVET,Aston Martin Mercedes,1:42.224
12,31,Esteban OconOCO,Alpine Renault,1:42.273
13,3,Daniel RicciardoRIC,McLaren Mercedes,1:42.558
14,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:42.587
15,63,George RussellRUS,Williams Mercedes,1:42.758
16,6,Nicholas LatifiLAT,Williams Mercedes,1:43.128
17,47,Mick SchumacherMSC,Haas Ferrari,1:44.158
18,9,Nikita MazepinMAZ,Haas Ferrari,1:44.238
19,18,Lance StrollSTR,Aston Martin Mercedes,
20,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,
