Pos,No,Driver,Car,Time
1,33,Max VerstappenVER,Red Bull Racing Honda,1:28.997
2,44,Lewis HamiltonHAM,Mercedes,1:29.385
3,77,Valtteri BottasBOT,Mercedes,1:29.586
4,16,Charles LeclercLEC,Ferrari,1:29.678
5,10,Pierre GaslyGAS,AlphaTauri Honda,1:29.809
6,3,Daniel RicciardoRIC,McLaren Mercedes,1:29.927
7,4,Lando NorrisNOR,McLaren Mercedes,1:29.974
8,55,Carlos SainzSAI,Ferrari,1:30.215
9,14,Fernando AlonsoALO,Alpine Renault,1:30.249
10,18,Lance StrollSTR,Aston Martin Mercedes,1:30.601
11,11,Sergio PerezPER,Red Bull Racing Honda,1:30.659
12,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:30.708
13,22,Yuki TsunodaTSU,AlphaTauri Honda,1:31.203
14,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:31.238
15,63,George RussellRUS,Williams Mercedes,1:33.430
16,31,Esteban OconOCO,Alpine Renault,1:31.724
17,6,Nicholas LatifiLAT,Williams Mercedes,1:31.936
18,47,Mick SchumacherMSC,Haas Ferrari,1:32.449
19,9,Nikita MazepinMAZ,Haas Ferrari,1:33.273
20,5,Sebastian VettelVET,Aston Martin Mercedes,1:32.056
