Pos,No,Driver,Car,Time
1,33,Max VerstappenVER,Red Bull Racing Honda,1:08.885
2,44,Lewis HamiltonHAM,Mercedes,1:08.923
3,77,Valtteri BottasBOT,Mercedes,1:09.222
4,10,Pierre GaslyGAS,AlphaTauri Honda,1:09.478
5,16,Charles LeclercLEC,Ferrari,1:09.527
6,55,Carlos SainzSAI,Ferrari,1:09.537
7,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:09.590
8,31,Esteban OconOCO,Alpine Renault,1:09.933
9,14,Fernando AlonsoALO,Alpine Renault,1:09.956
10,3,Daniel RicciardoRIC,McLaren Mercedes,1:10.166
11,63,George RussellRUS,Williams Mercedes,1:10.332
12,18,Lance StrollSTR,Aston Martin Mercedes,1:10.367
13,4,Lando NorrisNOR,McLaren Mercedes,1:10.406
14,22,Yuki TsunodaTSU,AlphaTauri Honda,1:11.314
15,5,Sebastian VettelVET,Aston Martin Mercedes,1:10.731
16,88,Robert KubicaKUB,Alfa Romeo Racing Ferrari,1:11.301
17,47,Mick SchumacherMSC,Haas Ferrari,1:11.387
18,9,Nikita MazepinMAZ,Haas Ferrari,1:11.875
