Pos,No,Driver,Car,Time
1,77,Valtteri BottasBOT,Mercedes,1:18.348
2,44,Lewis HamiltonHAM,Mercedes,1:18.355
3,33,Max VerstappenVER,Red Bull Racing Honda,1:18.746
4,11,Sergio PerezPER,Red Bull Racing Honda,1:18.890
5,55,Carlos SainzSAI,Ferrari,1:19.039
6,31,Esteban OconOCO,Alpine Renault,1:19.042
7,4,Lando NorrisNOR,McLaren Mercedes,1:19.116
8,16,Charles LeclercLEC,Ferrari,1:19.306
9,10,Pierre GaslyGAS,AlphaTauri Honda,1:19.475
10,5,Sebastian VettelVET,Aston Martin Mercedes,1:19.659
11,63,George RussellRUS,Williams Mercedes,1:19.109
12,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:19.216
13,14,Fernando AlonsoALO,Alpine Renault,1:19.456
14,22,Yuki TsunodaTSU,AlphaTauri Honda,1:19.463
15,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:19.812
16,3,Daniel RicciardoRIC,McLaren Mercedes,1:19.839
17,18,Lance StrollSTR,Aston Martin Mercedes,1:19.913
18,6,Nicholas LatifiLAT,Williams Mercedes,1:20.285
19,47,Mick SchumacherMSC,Haas Ferrari,1:20.452
20,9,Nikita MazepinMAZ,Haas Ferrari,1:20.912
