Pos,No,Driver,Car,Time
1,44,Lewis HamiltonHAM,Mercedes,1:20.827
2,10,Pierre GaslyGAS,AlphaTauri Honda,1:21.640
3,14,Fernando AlonsoALO,Alpine Renault,1:21.670
4,4,Lando NorrisNOR,McLaren Mercedes,1:21.731
5,55,Carlos SainzSAI,Ferrari,1:21.840
6,77,Valtteri BottasBOT,Mercedes,1:21.478
7,33,Max VerstappenVER,Red Bull Racing Honda,1:21.424
8,22,Yuki TsunodaTSU,AlphaTauri Honda,1:21.881
9,31,Esteban OconOCO,Alpine Renault,1:22.028
10,5,Sebastian VettelVET,Aston Martin Mercedes,1:22.785
11,11,Sergio PerezPER,Red Bull Racing Honda,1:22.346
12,18,Lance StrollSTR,Aston Martin Mercedes,1:22.460
13,16,Charles LeclercLEC,Ferrari,1:22.463
14,3,Daniel RicciardoRIC,McLaren Mercedes,1:22.597
15,63,George RussellRUS,Williams Mercedes,1:22.756
16,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:23.156
17,6,Nicholas LatifiLAT,Williams Mercedes,1:23.213
18,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:23.262
19,47,Mick SchumacherMSC,Haas Ferrari,1:23.407
20,9,Nikita MazepinMAZ,Haas Ferrari,1:25.859
