Pos,No,Driver,Car,Time
1,33,Max VerstappenVER,Red Bull Racing Honda,1:22.109
2,44,Lewis HamiltonHAM,Mercedes,1:22.480
3,4,Lando NorrisNOR,McLaren Mercedes,1:22.931
4,11,Sergio PerezPER,Red Bull Racing Honda,1:22.947
5,55,Carlos SainzSAI,Ferrari,1:22.992
6,77,Valtteri BottasBOT,Mercedes,1:23.036
7,16,Charles LeclercLEC,Ferrari,1:23.122
8,22,Yuki TsunodaTSU,AlphaTauri Honda,1:23.220
9,31,Esteban OconOCO,Alpine Renault,1:23.389
10,3,Daniel RicciardoRIC,McLaren Mercedes,1:23.409
11,14,Fernando AlonsoALO,Alpine Renault,1:23.460
12,10,Pierre GaslyGAS,AlphaTauri Honda,1:24.043
13,18,Lance StrollSTR,Aston Martin Mercedes,1:24.066
14,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:24.251
15,5,Sebastian VettelVET,Aston Martin Mercedes,1:24.305
16,6,Nicholas LatifiLAT,Williams Mercedes,1:24.338
17,63,George RussellRUS,Williams Mercedes,1:24.423
18,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:24.779
19,47,Mick SchumacherMSC,Haas Ferrari,1:24.906
