Pos,No,Driver,Car
1,33,Max VerstappenVER,Red Bull Racing Honda
2,44,Lewis HamiltonHAM,Mercedes
3,77,Valtteri BottasBOT,Mercedes
4,16,Charles LeclercLEC,Ferrari
5,4,Lando NorrisNOR,McLaren Mercedes
6,3,Daniel RicciardoRIC,McLaren Mercedes
7,14,Fernando AlonsoALO,Alpine Renault
8,5,Sebastian VettelVET,Aston Martin Mercedes
9,31,Esteban OconOCO,Alpine Renault
10,55,Carlos SainzSAI,Ferrari
11,10,Pierre GaslyGAS,AlphaTauri Honda
12,63,George RussellRUS,Williams Mercedes
13,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari
14,18,Lance StrollSTR,Aston Martin Mercedes
15,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari
16,22,Yuki TsunodaTSU,AlphaTauri Honda
17,6,Nicholas LatifiLAT,Williams Mercedes
18,47,Mick SchumacherMSC,Haas Ferrari
19,9,Nikita MazepinMAZ,Haas Ferrari
20,11,Sergio PerezPER,Red Bull Racing Honda
