Pos,No,Driver,Car,Time
1,44,Lewis HamiltonHAM,Mercedes,1:27.511
2,77,Valtteri BottasBOT,Mercedes,1:27.622
3,33,Max VerstappenVER,Red Bull Racing Honda,1:27.653
4,16,Charles LeclercLEC,Ferrari,1:28.054
5,11,Sergio PerezPER,Red Bull Racing Honda,1:28.123
6,10,Pierre GaslyGAS,AlphaTauri Honda,1:28.125
7,4,Lando NorrisNOR,McLaren Mercedes,1:28.180
8,22,Yuki TsunodaTSU,AlphaTauri Honda,1:28.442
9,31,Esteban OconOCO,Alpine Renault,1:28.647
10,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:28.754
11,3,Daniel RicciardoRIC,McLaren Mercedes,1:28.668
12,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:28.885
13,14,Fernando AlonsoALO,Alpine Renault,1:28.920
14,63,George RussellRUS,Williams Mercedes,1:29.054
15,55,Carlos SainzSAI,Ferrari,1:53.652
16,6,Nicholas LatifiLAT,Williams Mercedes,1:29.177
17,5,Sebastian VettelVET,Aston Martin Mercedes,1:29.198
18,18,Lance StrollSTR,Aston Martin Mercedes,1:29.368
19,47,Mick SchumacherMSC,Haas Ferrari,1:29.464
20,9,Nikita MazepinMAZ,Haas Ferrari,1:30.473
