Pos,No,Driver,Car,Time
1,33,Max VerstappenVER,Red Bull Racing Honda,1:03.841
2,44,Lewis HamiltonHAM,Mercedes,1:04.067
3,4,Lando NorrisNOR,McLaren Mercedes,1:04.120
4,11,Sergio PerezPER,Red Bull Racing Honda,1:04.168
5,77,Valtteri BottasBOT,Mercedes,1:04.035
6,10,Pierre GaslyGAS,AlphaTauri Honda,1:04.236
7,16,Charles LeclercLEC,Ferrari,1:04.472
8,14,Fernando AlonsoALO,Alpine Renault,1:04.574
9,18,Lance StrollSTR,Aston Martin Mercedes,1:04.708
10,63,George RussellRUS,Williams Mercedes,1:04.671
11,22,Yuki TsunodaTSU,AlphaTauri Honda,1:04.514
12,55,Carlos SainzSAI,Ferrari,1:04.800
13,3,Daniel RicciardoRIC,McLaren Mercedes,1:04.808
14,5,Sebastian VettelVET,Aston Martin Mercedes,1:04.875
15,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:04.913
16,6,Nicholas LatifiLAT,Williams Mercedes,1:05.175
17,31,Esteban OconOCO,Alpine Renault,1:05.217
18,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:05.429
19,47,Mick SchumacherMSC,Haas Ferrari,1:06.041
20,9,Nikita MazepinMAZ,Haas Ferrari,1:06.192
