Pos,No,Driver,Car,Time
1,44,Lewis HamiltonHAM,Mercedes,1:14.411
2,11,Sergio PerezPER,Red Bull Racing Honda,1:14.446
3,33,Max VerstappenVER,Red Bull Racing Honda,1:14.498
4,16,Charles LeclercLEC,Ferrari,1:14.740
5,10,Pierre GaslyGAS,AlphaTauri Honda,1:14.790
6,3,Daniel RicciardoRIC,McLaren Mercedes,1:14.826
7,4,Lando NorrisNOR,McLaren Mercedes,1:14.875
8,77,Valtteri BottasBOT,Mercedes,1:14.898
9,31,Esteban OconOCO,Alpine Renault,1:15.210
10,18,Lance StrollSTR,Aston Martin Mercedes,
11,55,Carlos SainzSAI,Ferrari,1:15.199
12,63,George RussellRUS,Williams Mercedes,1:15.261
13,5,Sebastian VettelVET,Aston Martin Mercedes,1:15.394
14,6,Nicholas LatifiLAT,Williams Mercedes,1:15.593
15,14,Fernando AlonsoALO,Alpine Renault,1:15.593
16,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:15.974
17,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:16.122
18,47,Mick SchumacherMSC,Haas Ferrari,1:16.279
19,9,Nikita MazepinMAZ,Haas Ferrari,1:16.797
20,22,Yuki TsunodaTSU,AlphaTauri Honda,
