POS.,NO.,DRIVER,TEAM,LAP,TIME OF DAY,TIME,AVG. SPEED
1,1,Max VerstappenVER,Red Bull Racing,50,16:35:35,1:43.388,196.520
2,63,George RussellRUS,Mercedes,42,16:21:56,1:43.754,196.010
3,6,Isack HadjarHAD,Racing Bulls,50,16:36:14,1:43.884,195.163
4,55,Carlos SainzSAI,Williams,47,16:30:41,1:43.972,195.850
5,44,Lewis HamiltonHAM,Ferrari,40,16:18:45,1:43.977,195.256
6,12,Kimi AntonelliANT,Mercedes,47,16:30:43,1:44.091,195.761
7,23,Alexander AlbonALB,Williams,51,16:38:22,1:44.152,193.999
8,4,Lando NorrisNOR,McLaren,42,16:22:10,1:44.155,195.328
9,16,Charles LeclercLEC,Ferrari,50,16:36:12,1:44.274,195.240
10,87,Oliver BearmanBEA,Haas,31,16:03:27,1:44.288,194.156
11,27,Nico HulkenbergHUL,Kick Sauber,47,16:31:40,1:44.370,193.748
12,22,Yuki TsunodaTSU,Red Bull Racing,41,16:20:25,1:44.434,195.342
13,30,Liam LawsonLAW,Racing Bulls,49,16:34:23,1:44.531,195.360
14,5,Gabriel BortoletoBOR,Kick Sauber,45,16:27:52,1:44.930,194.179
15,14,Fernando AlonsoALO,Aston Martin,50,16:36:53,1:45.002,193.800
16,18,Lance StrollSTR,Aston Martin,50,16:37:08,1:45.083,193.199
17,31,Esteban OconOCO,Haas,50,16:36:51,1:45.388,193.838
18,10,Pierre GaslyGAS,Alpine,37,16:14:21,1:45.492,192.533
19,43,Franco ColapintoCOL,Alpine,40,16:19:38,1:46.055,192.449
