POS.,NO.,DRIVER,TEAM,LAP,TIME OF DAY,TIME,AVG. SPEED
1,4,Lando NorrisNOR,McLaren,78,16:43:42,1:13.221,164.067
2,63,George RussellRUS,Mercedes,76,16:41:48,1:13.405,163.656
3,12,Kimi AntonelliANT,Mercedes,77,16:42:36,1:13.518,163.404
4,81,Oscar PiastriPIA,McLaren,60,16:21:08,1:13.745,162.901
5,55,Carlos SainzSAI,Williams,70,16:33:54,1:13.988,162.366
6,16,Charles LeclercLEC,Ferrari,36,15:50:50,1:14.055,162.219
7,44,Lewis HamiltonHAM,Ferrari,73,16:38:12,1:14.090,162.143
8,1,Max VerstappenVER,Red Bull Racing,45,16:02:10,1:14.230,161.837
9,23,Alexander AlbonALB,Williams,76,16:41:25,1:14.597,161.041
10,87,Oliver BearmanBEA,Haas,6,15:13:02,1:14.855,160.486
11,18,Lance StrollSTR,Aston Martin,69,16:33:26,1:14.877,160.439
12,5,Gabriel BortoletoBOR,Kick Sauber,38,15:54:04,1:14.884,160.424
13,22,Yuki TsunodaTSU,Red Bull Racing,77,16:43:38,1:14.913,160.362
14,31,Esteban OconOCO,Haas,34,15:49:20,1:15.157,159.841
15,27,Nico HulkenbergHUL,Kick Sauber,49,16:07:05,1:15.223,159.701
16,43,Franco ColapintoCOL,Alpine,31,15:44:43,1:15.298,159.542
17,30,Liam LawsonLAW,Racing Bulls,55,16:15:20,1:15.321,159.493
18,14,Fernando AlonsoALO,Aston Martin,15,15:24:19,1:15.593,158.919
19,6,Isack HadjarHAD,Racing Bulls,16,15:25:54,1:15.981,158.107
20,10,Pierre GaslyGAS,Alpine,6,15:12:47,1:18.054,153.908
