POS.,NO.,DRIVER,TEAM,LAP,TIME OF DAY,TIME,AVG. SPEED
1,12,Kimi AntonelliANT,Mercedes,32,17:25:22,1:44.861,212.885
2,27,Nico HulkenbergHUL,Kick Sauber,39,17:37:43,1:45.068,213.421
3,4,Lando NorrisNOR,McLaren,42,17:41:52,1:45.257,216.344
4,81,Oscar PiastriPIA,McLaren,43,17:43:34,1:45.706,216.489
5,14,Fernando AlonsoALO,Aston Martin,32,17:25:24,1:45.849,212.835
6,55,Carlos SainzSAI,Williams,30,17:21:58,1:46.073,212.668
7,1,Max VerstappenVER,Red Bull Racing,40,17:38:37,1:46.096,215.574
8,43,Franco ColapintoCOL,Alpine,30,17:22:00,1:46.104,212.537
9,16,Charles LeclercLEC,Ferrari,40,17:38:36,1:46.174,215.639
10,44,Lewis HamiltonHAM,Ferrari,43,17:44:16,1:46.534,214.783
11,63,George RussellRUS,Mercedes,43,17:44:10,1:46.566,215.025
12,30,Liam LawsonLAW,Racing Bulls,38,17:35:32,1:46.649,214.312
13,87,Oliver BearmanBEA,Haas,43,17:44:48,1:46.709,213.441
14,31,Esteban OconOCO,Haas,44,17:46:48,1:46.744,212.912
15,23,Alexander AlbonALB,Williams,38,17:35:20,1:46.813,214.814
16,5,Gabriel BortoletoBOR,Kick Sauber,41,17:40:57,1:46.966,214.130
17,10,Pierre GaslyGAS,Alpine,42,17:43:00,1:47.177,213.459
18,18,Lance StrollSTR,Aston Martin,38,17:35:57,1:47.212,213.167
19,22,Yuki TsunodaTSU,Red Bull Racing,42,17:43:01,1:47.241,213.348
20,6,Isack HadjarHAD,Racing Bulls,44,17:45:35,1:47.667,211.033
