POS.,NO.,DRIVER,TEAM,LAP,TIME OF DAY,TIME,AVG. SPEED
1,4,Lando NorrisNOR,McLaren,41,21:11:22,1:31.778,242.175
2,16,Charles LeclercLEC,Ferrari,49,21:23:37,1:32.192,241.088
3,81,Oscar PiastriPIA,McLaren,50,21:25:02,1:32.228,240.994
4,1,Max VerstappenVER,Red Bull Racing,49,21:23:32,1:32.280,240.858
5,12,Kimi AntonelliANT,Mercedes,50,21:25:36,1:32.396,240.555
6,55,Carlos SainzSAI,Williams,50,21:26:06,1:32.466,240.373
7,44,Lewis HamiltonHAM,Ferrari,43,21:14:50,1:32.600,240.025
8,18,Lance StrollSTR,Aston Martin,44,21:17:16,1:32.745,239.650
9,63,George RussellRUS,Mercedes,32,20:57:23,1:32.893,239.268
10,30,Liam LawsonLAW,Racing Bulls,43,21:15:17,1:32.998,238.998
11,14,Fernando AlonsoALO,Aston Martin,49,21:24:45,1:33.009,238.970
12,7,Jack DoohanDOO,Alpine,49,21:23:47,1:33.150,238.608
13,87,Oliver BearmanBEA,Haas,50,21:26:21,1:33.238,238.383
14,6,Isack HadjarHAD,Racing Bulls,39,21:08:58,1:33.257,238.334
15,27,Nico HulkenbergHUL,Kick Sauber,39,21:09:22,1:33.446,237.852
16,23,Alexander AlbonALB,Williams,47,21:21:27,1:33.477,237.773
17,31,Esteban OconOCO,Haas,47,21:21:50,1:34.309,235.676
18,5,Gabriel BortoletoBOR,Kick Sauber,39,21:09:19,1:34.447,235.331
