POS.,NO.,DRIVER,TEAM,LAP,TIME OF DAY,TIME,AVG. SPEED
1,81,Oscar PiastriPIA,McLaren,,16:29:12,1:07.924,229.279
2,4,Lando NorrisNOR,McLaren,,16:31:27,1:08.272,228.111
3,44,Lewis HamiltonHAM,Ferrari,,16:22:41,1:08.628,226.927
4,16,Charles LeclercLEC,Ferrari,,16:26:00,1:08.765,226.475
5,18,Lance StrollSTR,Aston Martin,,16:26:05,1:09.214,225.006
6,5,Gabriel BortoletoBOR,Kick Sauber,,16:31:20,1:09.247,224.899
7,63,George RussellRUS,Mercedes,,16:16:01,1:09.372,224.494
8,27,Nico HulkenbergHUL,Kick Sauber,,16:27:54,1:09.459,224.212
9,31,Esteban OconOCO,Haas,,16:25:37,1:09.550,223.919
10,43,Franco ColapintoCOL,Alpine,,16:12:57,1:09.621,223.691
11,22,Yuki TsunodaTSU,Red Bull Racing,,16:34:45,1:09.802,223.111
12,14,Fernando AlonsoALO,Aston Martin,,16:06:37,1:09.935,222.686
13,87,Oliver BearmanBEA,Haas,,16:10:25,1:09.960,222.607
14,30,Liam LawsonLAW,Racing Bulls,,16:28:52,1:09.977,222.553
15,10,Pierre GaslyGAS,Alpine,,16:15:10,1:10.151,222.001
16,6,Isack HadjarHAD,Racing Bulls,,16:07:50,1:10.204,221.833
17,23,Alexander AlbonALB,Williams,,15:30:26,1:10.641,220.461
