POS.,NO.,DRIVER,TEAM,LAP,TIME OF DAY,TIME,AVG. SPEED
1,81,Oscar PiastriPIA,McLaren,61,16:29:51,1:15.743,221.343
2,4,Lando NorrisNOR,McLaren,61,16:29:52,1:16.187,220.053
3,1,Max VerstappenVER,Red Bull Racing,62,16:31:12,1:17.019,217.676
4,63,George RussellRUS,Mercedes,62,16:31:13,1:17.244,217.042
5,16,Charles LeclercLEC,Ferrari,62,16:31:11,1:17.259,216.999
6,27,Nico HulkenbergHUL,Kick Sauber,63,16:32:33,1:17.575,216.116
7,44,Lewis HamiltonHAM,Ferrari,62,16:31:14,1:17.706,215.751
8,6,Isack HadjarHAD,Racing Bulls,63,16:32:34,1:17.770,215.574
9,10,Pierre GaslyGAS,Alpine,63,16:32:35,1:17.896,215.225
10,22,Yuki TsunodaTSU,Red Bull Racing,47,16:07:09,1:17.998,214.943
11,14,Fernando AlonsoALO,Aston Martin,66,16:36:36,1:18.128,214.586
12,12,Kimi AntonelliANT,Mercedes,52,16:14:28,1:18.255,214.238
13,5,Gabriel BortoletoBOR,Kick Sauber,52,16:13:54,1:18.297,214.123
14,43,Franco ColapintoCOL,Alpine,42,16:00:44,1:18.353,213.970
15,31,Esteban OconOCO,Haas,47,16:07:08,1:18.624,213.232
16,87,Oliver BearmanBEA,Haas,63,16:32:41,1:18.907,212.467
17,55,Carlos SainzSAI,Williams,65,16:35:24,1:19.317,211.369
18,30,Liam LawsonLAW,Racing Bulls,62,16:31:19,1:19.424,211.084
19,23,Alexander AlbonALB,Williams,9,15:16:13,1:20.508,208.242
