POS.,NO.,DRIVER,TEAM,LAP,TIME OF DAY,TIME,AVG. SPEED
1,81,Oscar PiastriPIA,McLaren,60,16:24:36,1:12.271,186.758
2,4,Lando NorrisNOR,McLaren,59,16:23:25,1:12.379,189.814
3,1,Max VerstappenVER,Red Bull Racing,70,16:39:25,1:12.921,186.718
4,43,Franco ColapintoCOL,Alpine,72,16:42:05,1:13.049,186.300
5,6,Isack HadjarHAD,Racing Bulls,70,16:39:27,1:13.327,186.656
6,12,Kimi AntonelliANT,Mercedes,70,16:39:29,1:13.480,186.064
7,23,Alexander AlbonALB,Williams,70,16:39:29,1:13.687,186.558
8,14,Fernando AlonsoALO,Aston Martin,42,15:59:39,1:13.719,186.388
9,63,George RussellRUS,Mercedes,70,16:39:28,1:13.728,186.579
10,55,Carlos SainzSAI,Williams,58,16:22:44,1:13.808,186.210
11,18,Lance StrollSTR,Aston Martin,70,16:39:31,1:13.822,186.458
12,30,Liam LawsonLAW,Racing Bulls,60,16:25:11,1:13.879,186.220
13,87,Oliver BearmanBEA,Haas,70,16:39:31,1:13.950,186.472
14,31,Esteban OconOCO,Haas,71,16:40:49,1:13.986,186.314
15,5,Gabriel BortoletoBOR,Kick Sauber,63,16:28:57,1:14.307,186.079
16,22,Yuki TsunodaTSU,Red Bull Racing,71,16:40:49,1:14.354,186.329
17,16,Charles LeclercLEC,Ferrari,33,15:47:48,1:14.557,194.547
18,27,Nico HulkenbergHUL,Kick Sauber,61,16:26:08,1:14.912,186.137
19,10,Pierre GaslyGAS,Alpine,59,16:23:33,1:15.248,186.014
20,44,Lewis HamiltonHAM,Ferrari,6,15:11:05,1:15.684,199.998
