POS.,NO.,DRIVER,TEAM,LAP,TIME OF DAY,TIME,AVG. SPEED
1,4,Lando NorrisNOR,McLaren,53,16:29:48,1:35.454,205.581
2,1,Max VerstappenVER,Red Bull Racing,56,16:34:50,1:35.488,205.508
3,81,Oscar PiastriPIA,McLaren,53,16:29:45,1:35.520,205.439
4,31,Esteban OconOCO,Haas,56,16:35:23,1:35.740,204.967
5,63,George RussellRUS,Mercedes,55,16:33:08,1:35.816,204.805
6,6,Isack HadjarHAD,Racing Bulls,35,16:01:54,1:35.868,204.693
7,22,Yuki TsunodaTSU,Racing Bulls,49,16:25:16,1:35.871,204.687
8,5,Gabriel BortoletoBOR,Kick Sauber,28,15:50:56,1:35.874,204.681
9,30,Liam LawsonLAW,Red Bull Racing,32,15:57:12,1:35.985,204.444
10,18,Lance StrollSTR,Aston Martin,39,16:08:17,1:36.044,204.318
11,12,Kimi AntonelliANT,Mercedes,56,16:35:27,1:36.046,204.314
12,23,Alexander AlbonALB,Williams,52,16:29:03,1:36.254,203.873
13,87,Oliver BearmanBEA,Haas,52,16:29:08,1:36.363,203.642
14,7,Jack DoohanDOO,Alpine,52,16:29:23,1:36.424,203.513
15,55,Carlos SainzSAI,Williams,50,16:26:06,1:36.779,202.767
16,27,Nico HulkenbergHUL,Kick Sauber,35,16:02:07,1:37.275,201.733
17,14,Fernando AlonsoALO,Aston Martin,3,15:08:43,1:39.256,197.706
18,44,Lewis HamiltonHAM,Ferrari,41,16:11:07,1:35.069,206.414
19,16,Charles LeclercLEC,Ferrari,49,16:23:36,1:36.157,204.078
20,10,Pierre GaslyGAS,Alpine,49,16:24:22,1:36.425,203.511
