POS.,NO.,DRIVER,TEAM,LAP,TIME OF DAY,TIME,AVG. SPEED
1,1,Max VerstappenVER,Red Bull Racing,58,16:28:34,1:17.988,226.604
2,44,Lewis HamiltonHAM,Ferrari,61,16:32:42,1:18.265,225.802
3,23,Alexander AlbonALB,Williams,63,16:35:24,1:18.289,225.732
4,4,Lando NorrisNOR,McLaren,63,16:35:12,1:18.311,225.669
5,81,Oscar PiastriPIA,McLaren,56,16:26:01,1:18.894,224.001
6,16,Charles LeclercLEC,Ferrari,56,16:26:03,1:19.048,223.565
7,6,Isack HadjarHAD,Racing Bulls,60,16:31:29,1:19.473,222.369
8,87,Oliver BearmanBEA,Haas,52,16:20:38,1:19.521,222.235
9,63,George RussellRUS,Mercedes,55,16:24:46,1:19.733,221.644
10,55,Carlos SainzSAI,Williams,58,16:28:48,1:19.836,221.358
11,14,Fernando AlonsoALO,Aston Martin,61,16:32:52,1:19.894,221.198
12,22,Yuki TsunodaTSU,Red Bull Racing,60,16:31:31,1:20.039,220.797
13,43,Franco ColapintoCOL,Alpine,57,16:27:35,1:20.345,219.956
14,10,Pierre GaslyGAS,Alpine,58,16:28:53,1:20.398,219.811
15,27,Nico HulkenbergHUL,Kick Sauber,62,16:34:15,1:20.401,219.803
16,30,Liam LawsonLAW,Racing Bulls,60,16:31:36,1:20.473,219.606
17,18,Lance StrollSTR,Aston Martin,58,16:28:55,1:20.501,219.530
18,12,Kimi AntonelliANT,Mercedes,33,15:50:10,1:20.620,219.206
19,5,Gabriel BortoletoBOR,Kick Sauber,57,16:27:36,1:20.630,219.178
20,31,Esteban OconOCO,Haas,3,15:08:15,1:21.413,217.070
