Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Ayrton SennaSEN,McLaren Honda,69,1:35:21.431,9
2,6,Riccardo PatresePAT,Williams Renault,69,+15.560s,6
3,4,Michele AlboretoALB,Tyrrell Ford,69,+31.254s,4
4,19,Alessandro NanniniNAN,Benetton Ford,69,+45.495s,3
5,2,Alain ProstPRO,McLaren Honda,69,+56.113s,2
6,40,Gabriele TarquiniTAR,AGS Ford,68,+1 lap,1
7,10,Eddie  CheeverCHE,Arrows Ford,68,+1 lap,0
8,26,Olivier GrouillardGRO,Ligier Ford,68,+1 lap,0
9,7,Martin BrundleBRU,Brabham Judd,68,+1 lap,0
10,8,Stefano ModenaMOD,Brabham Judd,68,+1 lap,0
11,11,Nelson PiquetPIQ,Lotus Judd,68,+1 lap,0
12,38,Christian DannerDAN,Rial Ford,67,+2 laps,0
13,21,Alex CaffiCAF,Dallara Ford,67,+2 laps,0
14,25,Rene ArnouxARN,Ligier Ford,66,+3 laps,0
15,20,Johnny HerbertHER,Benetton Ford,66,+3 laps,0
NC,23,Pierluigi MartiniMAR,Minardi Ford,53,DNF,0
NC,27,Nigel MansellMAN,Ferrari,43,DNF,0
NC,9,Derek WarwickWAR,Arrows Ford,35,DNF,0
NC,12,Satoru NakajimaNAK,Lotus Judd,35,DNF,0
NC,30,Philippe AlliotALL,Lola Lamborghini,28,DNF,0
NC,22,Andrea de CesarisDEC,Dallara Ford,20,DNF,0
NC,28,Gerhard BergerBER,Ferrari,16,DNF,0
NC,36,Stefan JohanssonJOH,Onyx Ford,16,DNF,0
NC,5,Thierry BoutsenBOU,Williams Renault,15,DNF,0
NC,3,Jonathan  PalmerPAL,Tyrrell Ford,9,DNF,0
NC,16,Ivan CapelliCAP,March Judd,1,DNF,0
