Pos,No,Driver,Car,Time
1,2,Jack BrabhamBRA,Cooper Climax,3:50.000
2,38,Tony BrooksBRO,Cooper Climax,3:52.500
3,24,Phil HillHIL,Ferrari,3:53.300
4,34,Olivier  GendebienGEN,Cooper Climax,3:53.500
5,10,Graham HillHIL,BRM,3:54.200
6,6,Jo BonnierBON,BRM,3:54.800
7,14,Innes IrelandIRE,Lotus Climax,3:55.400
8,36,Chris  Bristow BRI,Cooper Climax,3:56.300
9,18,Jim ClarkCLA,Lotus Climax,3:57.500
10,26,Wolfgang von TripsVON,Ferrari,3:57.800
11,8,Dan GurneyGUR,BRM,3:58.300
12,22,Willy MairesseMAI,Ferrari,3:58.900
13,4,Bruce McLarenMCL,Cooper Climax,4:00.000
14,32,Lucien BianchiBIA,Cooper Climax,4:00.600
15,28,Lance  Reventlow REV,Scarab,4:09.700
16,16,Alan  Stacey STA,Lotus Climax,4:17.600
17,30,Chuck  Daigh DAI,Scarab,4:18.500
