Pos,No,Driver,Car,Time
1,18,John SurteesSUR,Lotus Climax,2:25.560
2,24,Dan GurneyGUR,BRM,2:25.630
3,2,Jack BrabhamBRA,Cooper Climax,2:26.050
4,12,Stirling MossMOS,Lotus Climax,2:26.190
5,22,Graham HillHIL,BRM,2:27.110
6,4,Bruce McLarenMCL,Cooper Climax,2:27.440
7,16,Innes IrelandIRE,Lotus Climax,2:27.520
8,14,Jim ClarkCLA,Lotus Climax,2:28.360
9,28,Wolfgang von TripsVON,Ferrari,2:28.400
10,26,Phil HillHIL,Ferrari,2:28.420
11,30,Masten GregoryGRE,Cooper Maserati,2:29.160
12,6,Tony BrooksBRO,Cooper Climax,2:32.120
13,20,Jo BonnierBON,BRM,2:33.340
14,8,Olivier  GendebienGEN,Cooper Climax,2:33.730
15,32,Mario  de Araujo Cabral DEA,Cooper Maserati,2:35.850
