Pos,No,Driver,Car,Time
1,6,Eddie  SachsSAC,Ewing Offenhauser,4:05.580
2,4,Jim RathmannRAT,Watson Offenhauser,4:05.950
3,1,Rodger WardWAR,Watson Offenhauser,4:07.320
4,97,Dick RathmannRAT,Watson Offenhauser,4:07.350
5,9,Len  SuttonSUT,Watson Offenhauser,4:07.520
6,28,Troy RuttmanRUT,Watson Offenhauser,4:07.650
7,22,Eddie JohnsonJOH,Watson Offenhauser,4:08.270
8,7,Don  BransonBRA,Phillips Offenhauser,4:08.700
9,65,Chuck  StevensonSTE,Watson Offenhauser,4:08.850
10,10,Jimmy BryanBRY,Epperly Offenhauser,4:09.080
11,73,Don  FreelandFRE,Kurtis Kraft Offenhauser,4:09.390
12,98,Lloyd  Ruby RUB,Watson Offenhauser,4:09.640
13,8,Johnny  BoydBOY,Epperly Offenhauser,4:10.400
14,38,Bob  ChristieCHR,Kurtis Kraft Offenhauser,4:10.630
15,32,Wayne  WeilerWEI,Epperly Offenhauser,4:10.850
16,5,Anthony Joseph FoytFOY,Epperly Offenhauser,4:10.930
17,3,Johnny ThomsonTHO,Kurtis Kraft Offenhauser,4:05.830
18,2,Tony  BettenhausenBET,Watson Offenhauser,4:07.910
19,26,Shorty  TemplemanTEM,Kurtis Kraft Offenhauser,4:10.250
20,37,Gene ForceFOR,Kurtis Kraft Offenhauser,4:10.920
21,14,Bobby  GrimGRI,Meskowski Offenhauser,4:11.470
22,27,Red  AmickAMI,Epperly Offenhauser,4:11.600
23,56,Jim  HurtubiseHUR,Christensen Offenhauser,4:01.520
24,48,Gene HartleyHAR,Kurtis Kraft Offenhauser,4:10.180
25,44,Bob  VeithVEI,Meskowski Offenhauser,4:11.110
26,99,Paul GoldsmithGOL,Epperly Offenhauser,4:12.130
27,17,Duane CarterCAR,Kuzma Offenhauser,4:12.870
28,18,Bud  TingelstadTIN,Watson Offenhauser,4:12.890
29,46,Eddie  RussoRUS,Kurtis Kraft Offenhauser,4:13.160
30,76,Al  HermanHER,Ewing Offenhauser,4:13.810
31,39,Bill HomeierHOM,Kuzma Offenhauser,4:14.870
32,16,Jim  McWitheyMCW,Epperly Offenhauser,4:16.450
33,23,Dempsey  WilsonWIL,Kurtis Kraft Offenhauser,4:11.370
