Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:20.511,1:20.210,1:19.149,12
2,5,Sebastian VettelVET,Ferrari,1:20.939,1:20.295,1:19.200,16
3,77,Valtteri BottasBOT,Mercedes,1:20.991,1:20.300,1:19.373,15
4,7,Kimi RäikkönenRAI,Ferrari,1:20.742,1:20.621,1:19.439,14
5,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:21.430,1:20.722,1:19.706,12
6,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:21.704,1:20.855,1:20.175,12
7,14,Fernando AlonsoALO,McLaren Honda,1:22.015,1:21.251,1:21.048,15
8,11,Sergio PerezPER,Force India Mercedes,1:21.998,1:21.239,1:21.070,14
9,19,Felipe MassaMAS,Williams Mercedes,1:22.138,1:21.222,1:21.232,15
10,31,Esteban OconOCO,Force India Mercedes,1:21.901,1:21.148,1:21.272,17
11,20,Kevin MagnussenMAG,Haas Ferrari,1:21.945,1:21.329,,13
12,55,Carlos SainzSAI,Toro Rosso,1:21.941,1:21.371,,12
13,27,Nico HulkenbergHUL,Renault,1:22.091,1:21.397,,12
14,8,Romain GrosjeanGRO,Haas Ferrari,1:21.822,1:21.517,,13
15,94,Pascal WehrleinWEH,Sauber Ferrari,1:22.327,1:21.803,,15
16,9,Marcus EricssonERI,Sauber Ferrari,1:22.332,,,9
17,30,Jolyon PalmerPAL,Renault,1:22.401,,,6
18,18,Lance StrollSTR,Williams Mercedes,1:22.411,,,7
19,2,Stoffel VandoorneVAN,McLaren Honda,1:22.532,,,9
20,26,Daniil KvyatKVY,Toro Rosso,1:22.746,,,6
