Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:39.069,1:27.893,1:26.600,25
2,7,Kimi RäikkönenRAI,Ferrari,1:40.455,1:28.992,1:27.147,26
3,5,Sebastian VettelVET,Ferrari,1:39.962,1:28.978,1:27.356,24
4,77,Valtteri BottasBOT,Mercedes,1:39.698,1:28.732,1:27.376,26
5,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:38.912,1:29.431,1:28.130,23
6,27,Nico HulkenbergHUL,Renault,1:39.201,1:29.340,1:28.856,21
7,11,Sergio PerezPER,Force India Mercedes,1:42.009,1:29.824,1:28.902,26
8,31,Esteban OconOCO,Force India Mercedes,1:39.738,1:29.701,1:29.074,25
9,2,Stoffel VandoorneVAN,McLaren Honda,1:40.011,1:30.105,1:29.418,24
10,8,Romain GrosjeanGRO,Haas Ferrari,1:42.042,1:29.966,1:29.549,26
11,30,Jolyon PalmerPAL,Renault,1:41.404,1:30.193,,18
12,26,Daniil KvyatKVY,Toro Rosso,1:41.726,1:30.355,,20
13,14,Fernando AlonsoALO,McLaren Honda,1:37.598,1:30.600,,17
14,55,Carlos SainzSAI,Toro Rosso,1:41.114,1:31.368,,15
15,19,Felipe MassaMAS,Williams Mercedes,1:41.874,1:31.482,,21
16,18,Lance StrollSTR,Williams Mercedes,1:42.573,,,11
17,20,Kevin MagnussenMAG,Haas Ferrari,1:42.577,,,11
18,94,Pascal WehrleinWEH,Sauber Ferrari,1:42.593,,,10
19,9,Marcus EricssonERI,Sauber Ferrari,1:42.633,,,10
20,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:42.966,,,4
