Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:44.184,1:42.927,1:42.553,18
2,5,Sebastian VettelVET,Ferrari,1:44.275,1:43.987,1:42.795,13
3,77,Valtteri BottasBOT,Mercedes,1:44.773,1:43.249,1:43.094,19
4,7,Kimi RäikkönenRAI,Ferrari,1:44.729,1:43.700,1:43.270,11
5,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:44.535,1:43.940,1:43.380,12
6,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:45.114,1:44.224,1:43.863,12
7,27,Nico HulkenbergHUL,Renault,1:45.280,1:44.988,1:44.982,15
8,11,Sergio PerezPER,Force India Mercedes,1:45.591,1:44.894,1:45.244,14
9,31,Esteban OconOCO,Force India Mercedes,1:45.277,1:45.006,1:45.369,14
10,30,Jolyon PalmerPAL,Renault,1:45.447,1:44.685,DNS,10
11,14,Fernando AlonsoALO,McLaren Honda,1:45.668,1:45.090,,11
12,8,Romain GrosjeanGRO,Haas Ferrari,1:45.728,1:45.133,,12
13,20,Kevin MagnussenMAG,Haas Ferrari,1:45.535,1:45.400,,12
14,55,Carlos SainzSAI,Toro Rosso,1:45.374,1:45.439,,12
15,2,Stoffel VandoorneVAN,McLaren Honda,1:45.441,DNF,,11
16,19,Felipe MassaMAS,Williams Mercedes,1:45.823,,,7
17,26,Daniil KvyatKVY,Toro Rosso,1:46.028,,,6
18,18,Lance StrollSTR,Williams Mercedes,1:46.915,,,5
19,9,Marcus EricssonERI,Sauber Ferrari,1:47.214,,,6
20,94,Pascal WehrleinWEH,Sauber Ferrari,1:47.679,,,6
