Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,77,Valtteri BottasBOT,Mercedes,1:05.760,1:04.316,1:04.251,18
2,5,Sebastian VettelVET,Ferrari,1:05.585,1:04.772,1:04.293,17
3,44,Lewis HamiltonHAM,Mercedes,1:05.064,1:04.800,1:04.424,17
4,7,Kimi RäikkönenRAI,Ferrari,1:05.148,1:05.004,1:04.779,17
5,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:05.854,1:05.161,1:04.896,22
6,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:05.779,1:04.948,1:04.983,16
7,8,Romain GrosjeanGRO,Haas Ferrari,1:05.902,1:05.319,1:05.480,30
8,11,Sergio PerezPER,Force India Mercedes,1:05.975,1:05.435,1:05.605,21
9,31,Esteban OconOCO,Force India Mercedes,1:06.033,1:05.550,1:05.674,22
10,55,Carlos SainzSAI,Toro Rosso,1:05.675,1:05.544,1:05.726,23
11,27,Nico HulkenbergHUL,Renault,1:06.174,1:05.597,,16
12,14,Fernando AlonsoALO,McLaren Honda,1:06.158,1:05.602,,14
13,2,Stoffel VandoorneVAN,McLaren Honda,1:06.316,1:05.741,,14
14,26,Daniil KvyatKVY,Toro Rosso,1:05.990,1:05.884,,16
15,20,Kevin MagnussenMAG,Haas Ferrari,1:06.143,,,6
16,30,Jolyon PalmerPAL,Renault,1:06.345,,,10
17,19,Felipe MassaMAS,Williams Mercedes,1:06.534,,,8
18,18,Lance StrollSTR,Williams Mercedes,1:06.608,,,11
19,9,Marcus EricssonERI,Sauber Ferrari,1:06.857,,,12
20,94,Pascal WehrleinWEH,Sauber Ferrari,1:07.011,,,11
