Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:34.822,1:33.437,1:33.108,18
2,5,Sebastian VettelVET,Ferrari,1:35.420,1:34.103,1:33.347,18
3,77,Valtteri BottasBOT,Mercedes,1:35.309,1:33.769,1:33.568,17
4,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:35.991,1:34.495,1:33.577,14
5,7,Kimi RäikkönenRAI,Ferrari,1:35.649,1:33.840,1:33.577,17
6,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:34.899,1:34.716,1:33.658,13
7,31,Esteban OconOCO,Force India Mercedes,1:35.849,1:35.113,1:34.647,17
8,55,Carlos SainzSAI,Renault,1:35.517,1:34.899,1:34.852,17
9,14,Fernando AlonsoALO,McLaren Honda,1:35.712,1:35.046,1:35.007,15
10,11,Sergio PerezPER,Force India Mercedes,1:36.358,1:34.789,1:35.148,19
11,19,Felipe MassaMAS,Williams Mercedes,1:35.603,1:35.155,,9
12,26,Daniil KvyatKVY,Toro Rosso,1:36.073,1:35.529,,15
13,2,Stoffel VandoorneVAN,McLaren Honda,1:36.286,1:35.641,,14
14,8,Romain GrosjeanGRO,Haas Ferrari,1:36.835,1:35.870,,14
15,27,Nico HulkenbergHUL,Renault,1:35.740,,,3
16,9,Marcus EricssonERI,Sauber Ferrari,1:36.842,,,9
17,18,Lance StrollSTR,Williams Mercedes,1:36.868,,,8
18,39,Brendon HartleyHAR,Toro Rosso,1:36.889,,,7
19,94,Pascal WehrleinWEH,Sauber Ferrari,1:37.179,,,9
20,20,Kevin MagnussenMAG,Haas Ferrari,1:37.394,,,7
