Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:36.009,1:34.660,1:35.554,29
2,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:37.344,1:36.113,1:36.702,29
3,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:38.304,1:37.313,1:36.841,26
4,18,Lance StrollSTR,Williams Mercedes,1:37.653,1:37.002,1:37.032,27
5,31,Esteban OconOCO,Force India Mercedes,1:38.775,1:37.580,1:37.719,29
6,77,Valtteri BottasBOT,Mercedes,1:35.716,1:35.396,1:37.833,29
7,7,Kimi RäikkönenRAI,Ferrari,1:38.235,1:37.031,1:37.987,30
8,5,Sebastian VettelVET,Ferrari,1:37.198,1:36.223,1:38.064,28
9,19,Felipe MassaMAS,Williams Mercedes,1:38.338,1:37.456,1:38.251,27
10,2,Stoffel VandoorneVAN,McLaren Honda,1:38.767,1:37.471,1:39.157,25
11,11,Sergio PerezPER,Force India Mercedes,1:38.511,1:37.582,,19
12,27,Nico HulkenbergHUL,Renault,1:39.242,1:38.059,,20
13,14,Fernando AlonsoALO,McLaren Honda,1:39.134,1:38.202,,11
14,26,Daniil KvyatKVY,Toro Rosso,1:39.183,1:38.245,,21
15,55,Carlos SainzSAI,Toro Rosso,1:39.788,1:38.526,,21
16,20,Kevin MagnussenMAG,Haas Ferrari,1:40.489,,,12
17,30,Jolyon PalmerPAL,Renault,1:40.646,,,10
18,9,Marcus EricssonERI,Sauber Ferrari,1:41.732,,,11
19,94,Pascal WehrleinWEH,Sauber Ferrari,1:41.875,,,9
NC,8,Romain GrosjeanGRO,Haas Ferrari,1:43.355,,,3
