Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,77,Valtteri BottasBOT,Mercedes,1:37.356,1:36.822,1:36.231,18
2,44,Lewis HamiltonHAM,Mercedes,1:37.391,1:36.742,1:36.403,19
3,5,Sebastian VettelVET,Ferrari,1:37.817,1:37.023,1:36.777,18
4,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:38.016,1:37.583,1:36.959,16
5,7,Kimi RäikkönenRAI,Ferrari,1:37.453,1:37.302,1:36.985,17
6,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:38.021,1:37.777,1:37.328,19
7,27,Nico HulkenbergHUL,Renault,1:38.781,1:38.138,1:38.282,14
8,11,Sergio PerezPER,Force India Mercedes,1:38.601,1:38.359,1:38.374,17
9,31,Esteban OconOCO,Force India Mercedes,1:38.896,1:38.392,1:38.397,17
10,19,Felipe MassaMAS,Williams Mercedes,1:38.629,1:38.565,1:38.550,18
11,14,Fernando AlonsoALO,McLaren Honda,1:38.820,1:38.636,,12
12,55,Carlos SainzSAI,Renault,1:38.810,1:38.725,,9
13,2,Stoffel VandoorneVAN,McLaren Honda,1:38.777,1:38.808,,9
14,20,Kevin MagnussenMAG,Haas Ferrari,1:39.395,1:39.298,,16
15,18,Lance StrollSTR,Williams Mercedes,1:39.503,1:39.646,,14
16,8,Romain GrosjeanGRO,Haas Ferrari,1:39.516,,,10
17,10,Pierre GaslyGAS,Toro Rosso,1:39.724,,,9
18,94,Pascal WehrleinWEH,Sauber Ferrari,1:39.930,,,9
19,9,Marcus EricssonERI,Sauber Ferrari,1:39.994,,,9
20,28,Brendon HartleyHAR,Toro Rosso,1:40.471,,,8
