Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:58.693,
2,27,Jean AlesiALE,Ferrari,1:58.799,+0.106s
3,19,Michael SchumacherMSC,Benetton Ford,2:00.196,+1.503s
4,1,Ayrton SennaSEN,McLaren Honda,2:01.697,+3.004s
5,6,Riccardo PatresePAT,Williams Renault,2:02.367,+3.674s
6,16,Jan LammersLAM,March Ilmor,2:03.914,+5.221s
7,9,Michele AlboretoALB,Footwork Mugen Honda,2:03.915,+5.222s
8,22,Pierluigi MartiniMAR,Dallara Ferrari,2:04.413,+5.720s
9,12,Johnny HerbertHER,Lotus Ford,2:05.582,+6.889s
10,25,Thierry BoutsenBOU,Ligier Renault,2:06.574,+7.881s
11,21,Jyrki JarvilehtoJAR,Dallara Ferrari,2:06.724,+8.031s
12,28,Nicola LariniLAR,Ferrari,2:06.788,+8.095s
13,33,Mauricio GugelminGUG,Jordan Yamaha,2:07.068,+8.375s
14,3,Olivier GrouillardGRO,Tyrrell Ilmor,2:07.745,+9.052s
15,10,Aguri SuzukiSUZ,Footwork Mugen Honda,2:09.029,+10.336s
16,17,Emanuele NaspettiNAS,March Ilmor,2:09.151,+10.458s
17,24,Gianni MorbidelliMOR,Minardi Lamborghini,2:09.962,+11.269s
18,26,Erik ComasCOM,Ligier Renault,2:10.163,+11.470s
19,11,Mika HakkinenHAK,Lotus Ford,2:10.677,+11.984s
20,23,Christian FittipaldiFIT,Minardi Lamborghini,2:15.719,+17.026s
