Pos,No,Driver,Car,Time,Gap
1,27,Jean AlesiALE,Ferrari,1:48.241,
2,6,Riccardo PatresePAT,Williams Renault,1:49.756,+1.515s
3,5,Nigel MansellMAN,Williams Renault,1:49.762,+1.521s
4,20,Martin BrundleBRU,Benetton Ford,1:50.310,+2.069s
5,19,Michael SchumacherMSC,Benetton Ford,1:52.798,+4.557s
6,1,Ayrton SennaSEN,McLaren Honda,1:53.665,+5.424s
7,22,Pierluigi MartiniMAR,Dallara Ferrari,1:54.247,+6.006s
8,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:54.274,+6.033s
9,9,Michele AlboretoALB,Footwork Mugen Honda,1:55.896,+7.655s
10,33,Mauricio GugelminGUG,Jordan Yamaha,1:56.661,+8.420s
11,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:57.333,+9.092s
12,11,Mika HakkinenHAK,Lotus Ford,1:59.186,+10.945s
13,23,Christian FittipaldiFIT,Minardi Lamborghini,1:59.881,+11.640s
14,15,Gabriele TarquiniTAR,Fondmetal Ford,2:00.285,+12.044s
15,8,Damon HillHIL,Brabham Judd,2:00.959,+12.718s
16,28,Ivan CapelliCAP,Ferrari,2:01.293,+13.052s
17,14,Andrea ChiesaCHI,Fondmetal Ford,2:02.254,+14.013s
18,12,Johnny HerbertHER,Lotus Ford,2:03.891,+15.650s
19,32,Stefano ModenaMOD,Jordan Yamaha,5:09.411,+21.170s
20,3,Olivier GrouillardGRO,Tyrrell Ilmor,4:36.362,+48.121s
21,2,Gerhard BergerBER,McLaren Honda,9:13.095,+24.854s
22,10,Aguri SuzukiSUZ,Footwork Mugen Honda,9:11.613,
