Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:22.484,
2,6,Riccardo PatresePAT,Williams Renault,1:22.667,+0.183s
3,1,Ayrton SennaSEN,McLaren Honda,1:22.974,+0.490s
4,19,Michael SchumacherMSC,Benetton Ford,1:23.997,+1.513s
5,2,Gerhard BergerBER,McLaren Honda,1:24.364,+1.880s
6,27,Jean AlesiALE,Ferrari,1:24.584,+2.100s
7,16,Karl WendlingerWEN,March Ilmor,1:25.077,+2.593s
8,20,Martin BrundleBRU,Benetton Ford,1:25.306,+2.822s
9,22,Pierluigi MartiniMAR,Dallara Ferrari,1:25.385,+2.901s
10,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:25.392,+2.908s
11,15,Gabriele TarquiniTAR,Fondmetal Ford,1:25.646,+3.162s
12,26,Erik ComasCOM,Ligier Renault,1:25.748,+3.264s
13,11,Mika HakkinenHAK,Lotus Ford,1:25.794,+3.310s
14,12,Johnny HerbertHER,Lotus Ford,1:25.914,+3.430s
15,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:25.953,+3.469s
16,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:25.954,+3.470s
17,25,Thierry BoutsenBOU,Ligier Renault,1:25.958,+3.474s
18,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:26.004,+3.520s
19,28,Ivan CapelliCAP,Ferrari,1:26.086,+3.602s
20,29,Bertrand GachotGAC,Venturi Lamborghini,1:26.092,+3.608s
21,30,Ukyo KatayamaKAT,Venturi Lamborghini,1:26.130,+3.646s
22,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:26.164,+3.680s
23,9,Michele AlboretoALB,Footwork Mugen Honda,1:26.204,+3.720s
24,17,Emanuele NaspettiNAS,March Ilmor,1:26.726,+4.242s
25,23,Christian FittipaldiFIT,Minardi Lamborghini,1:26.819,+4.335s
26,33,Mauricio GugelminGUG,Jordan Yamaha,1:26.899,+4.415s
27,14,Eric van de PoeleVAN,Fondmetal Ford,1:27.296,+4.812s
28,32,Stefano ModenaMOD,Jordan Yamaha,1:27.964,+5.480s
