Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:16.116,
2,6,Riccardo PatresePAT,Williams Renault,1:17.924,+1.808s
3,1,Ayrton SennaSEN,McLaren Honda,1:18.531,+2.415s
4,2,Gerhard BergerBER,McLaren Honda,1:18.802,+2.686s
5,26,Erik ComasCOM,Ligier Renault,1:18.807,+2.691s
6,27,Jean AlesiALE,Ferrari,1:18.873,+2.757s
7,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:19.241,+3.125s
8,9,Michele AlboretoALB,Footwork Mugen Honda,1:19.501,+3.385s
9,25,Thierry BoutsenBOU,Ligier Renault,1:19.599,+3.483s
10,15,Gabriele TarquiniTAR,Fondmetal Ford,1:19.614,+3.498s
11,22,Pierluigi MartiniMAR,Dallara Ferrari,1:19.677,+3.561s
12,28,Ivan CapelliCAP,Ferrari,1:19.688,+3.572s
13,16,Karl WendlingerWEN,March Ilmor,1:19.691,+3.575s
14,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:19.699,+3.583s
15,32,Stefano ModenaMOD,Jordan Yamaha,1:19.708,+3.592s
16,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:19.802,+3.686s
17,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:19.836,+3.720s
18,19,Michael SchumacherMSC,Benetton Ford,1:19.991,+3.875s
19,20,Martin BrundleBRU,Benetton Ford,1:20.105,+3.989s
20,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:20.108,+3.992s
21,29,Bertrand GachotGAC,Venturi Lamborghini,1:20.631,+4.515s
22,33,Mauricio GugelminGUG,Jordan Yamaha,1:20.653,+4.537s
23,11,Mika HakkinenHAK,Lotus Ford,1:20.811,+4.695s
24,30,Ukyo KatayamaKAT,Venturi Lamborghini,1:20.811,+4.695s
25,12,Johnny HerbertHER,Lotus Ford,1:20.961,+4.845s
26,23,Christian FittipaldiFIT,Minardi Lamborghini,1:21.014,+4.898s
27,14,Andrea ChiesaCHI,Fondmetal Ford,1:21.298,+5.182s
28,17,Paul BelmondoBEL,March Ilmor,1:21.725,+5.609s
29,7,Eric van de PoeleVAN,Brabham Judd,1:22.975,+6.859s
30,8,Giovanna AmatiAMA,Brabham Judd,1:26.882,+10.766s
