Pos,No,Driver,Car,Time,Gap
1,6,Riccardo PatresePAT,Williams Renault,1:17.033,
2,5,Nigel MansellMAN,Williams Renault,1:17.058,+0.025s
3,2,Gerhard BergerBER,McLaren Honda,1:17.936,+0.903s
4,19,Michael SchumacherMSC,Benetton Ford,1:18.442,+1.409s
5,1,Ayrton SennaSEN,McLaren Honda,1:18.735,+1.702s
6,20,Martin BrundleBRU,Benetton Ford,1:18.804,+1.771s
7,22,Pierluigi MartiniMAR,Dallara Ferrari,1:19.204,+2.171s
8,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:19.233,+2.200s
9,27,Jean AlesiALE,Ferrari,1:19.354,+2.321s
10,16,Karl WendlingerWEN,March Ilmor,1:19.417,+2.384s
11,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:19.591,+2.558s
12,23,Christian FittipaldiFIT,Minardi Lamborghini,1:19.867,+2.834s
13,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:19.999,+2.966s
14,9,Michele AlboretoALB,Footwork Mugen Honda,1:20.029,+2.996s
15,15,Gabriele TarquiniTAR,Fondmetal Ford,1:20.052,+3.019s
16,25,Thierry BoutsenBOU,Ligier Renault,1:20.084,+3.051s
17,11,Mika HakkinenHAK,Lotus Ford,1:20.135,+3.102s
18,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:20.144,+3.111s
19,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:20.194,+3.161s
20,33,Mauricio GugelminGUG,Jordan Yamaha,1:20.248,+3.215s
21,29,Bertrand GachotGAC,Venturi Lamborghini,1:20.368,+3.335s
22,32,Stefano ModenaMOD,Jordan Yamaha,1:20.657,+3.624s
23,28,Ivan CapelliCAP,Ferrari,1:20.659,+3.626s
24,12,Johnny HerbertHER,Lotus Ford,1:20.696,+3.663s
25,26,Erik ComasCOM,Ligier Renault,1:20.979,+3.946s
26,7,Eric van de PoeleVAN,Brabham Judd,1:21.346,+4.313s
27,30,Ukyo KatayamaKAT,Venturi Lamborghini,1:21.997,+4.964s
28,14,Andrea ChiesaCHI,Fondmetal Ford,1:22.169,+5.136s
29,17,Paul BelmondoBEL,March Ilmor,1:22.181,+5.148s
30,8,Giovanna AmatiAMA,Brabham Judd,1:24.306,+7.273s
