Pos,No,Driver,Car,Time,Gap
1,6,Riccardo PatresePAT,Williams Renault,1:15.877,
2,1,Ayrton SennaSEN,McLaren Honda,1:17.042,+1.165s
3,5,Nigel MansellMAN,Williams Renault,1:17.044,+1.167s
4,2,Gerhard BergerBER,McLaren Honda,1:17.475,+1.598s
5,27,Jean AlesiALE,Ferrari,1:18.481,+2.604s
6,20,Martin BrundleBRU,Benetton Ford,1:18.743,+2.866s
7,29,Bertrand GachotGAC,Venturi Lamborghini,1:18.790,+2.913s
8,19,Michael SchumacherMSC,Benetton Ford,1:19.297,+3.420s
9,11,Mika HakkinenHAK,Lotus Ford,1:19.434,+3.557s
10,12,Johnny HerbertHER,Lotus Ford,1:19.635,+3.758s
11,25,Thierry BoutsenBOU,Ligier Renault,1:19.699,+3.822s
12,28,Ivan CapelliCAP,Ferrari,1:19.807,+3.930s
13,16,Karl WendlingerWEN,March Ilmor,1:19.823,+3.946s
14,9,Michele AlboretoALB,Footwork Mugen Honda,1:19.953,+4.076s
15,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:20.018,+4.141s
16,15,Gabriele TarquiniTAR,Fondmetal Ford,1:20.073,+4.196s
17,26,Erik ComasCOM,Ligier Renault,1:20.107,+4.230s
18,33,Mauricio GugelminGUG,Jordan Yamaha,1:20.223,+4.346s
19,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:20.649,+4.772s
20,22,Pierluigi MartiniMAR,Dallara Ferrari,1:20.719,+4.842s
21,17,Paul BelmondoBEL,March Ilmor,1:20.818,+4.941s
22,14,Eric van de PoeleVAN,Fondmetal Ford,1:20.900,+5.023s
23,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:21.015,+5.138s
24,32,Stefano ModenaMOD,Jordan Yamaha,1:21.183,+5.306s
25,23,Alessandro ZanardiZAN,Minardi Lamborghini,1:21.340,+5.463s
26,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:21.506,+5.629s
27,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:21.599,+5.722s
28,30,Ukyo KatayamaKAT,Venturi Lamborghini,1:22.284,+6.407s
29,34,Roberto MorenoMOR,Moda Judd,1:22.308,+6.431s
