Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:14.117,
2,6,Riccardo PatresePAT,Williams Renault,1:14.858,+0.741s
3,1,Ayrton SennaSEN,McLaren Honda,1:14.924,+0.807s
4,19,Michael SchumacherMSC,Benetton Ford,1:15.178,+1.061s
5,2,Gerhard BergerBER,McLaren Honda,1:15.591,+1.474s
6,27,Jean AlesiALE,Ferrari,1:15.947,+1.830s
7,20,Martin BrundleBRU,Benetton Ford,1:16.365,+2.248s
8,26,Erik ComasCOM,Ligier Renault,1:16.433,+2.316s
9,28,Ivan CapelliCAP,Ferrari,1:16.698,+2.581s
10,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:16.700,+2.583s
11,25,Thierry BoutsenBOU,Ligier Renault,1:16.855,+2.738s
12,12,Johnny HerbertHER,Lotus Ford,1:17.156,+3.039s
13,30,Ukyo KatayamaKAT,Venturi Lamborghini,1:17.458,+3.341s
14,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:17.568,+3.451s
15,33,Mauricio GugelminGUG,Jordan Yamaha,1:17.721,+3.604s
16,9,Michele AlboretoALB,Footwork Mugen Honda,1:17.758,+3.641s
17,16,Karl WendlingerWEN,March Ilmor,1:17.762,+3.645s
18,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:17.799,+3.682s
19,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:17.867,+3.750s
20,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:17.915,+3.798s
21,32,Stefano ModenaMOD,Jordan Yamaha,1:18.410,+4.293s
22,22,Pierluigi MartiniMAR,Dallara Ferrari,1:18.909,+4.792s
23,29,Bertrand GachotGAC,Venturi Lamborghini,1:19.011,+4.894s
24,23,Christian FittipaldiFIT,Minardi Lamborghini,1:19.081,+4.964s
25,11,Mika HakkinenHAK,Lotus Ford,1:19.197,+5.080s
26,17,Paul BelmondoBEL,March Ilmor,1:19.579,+5.462s
27,7,Eric van de PoeleVAN,Brabham Judd,1:19.684,+5.567s
28,14,Andrea ChiesaCHI,Fondmetal Ford,1:19.711,+5.594s
29,8,Damon HillHIL,Brabham Judd,1:20.702,+6.585s
30,15,Gabriele TarquiniTAR,Fondmetal Ford,1:22.689,+8.572s
