Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:19.632,
2,1,Ayrton SennaSEN,McLaren Honda,1:20.574,+0.942s
3,2,Gerhard BergerBER,McLaren Honda,1:20.973,+1.341s
4,6,Riccardo PatresePAT,Williams Renault,1:21.599,+1.967s
5,27,Jean AlesiALE,Ferrari,1:21.856,+2.224s
6,20,Martin BrundleBRU,Benetton Ford,1:22.247,+2.615s
7,19,Michael SchumacherMSC,Benetton Ford,1:22.561,+2.929s
8,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:23.069,+3.437s
9,9,Michele AlboretoALB,Footwork Mugen Honda,1:23.268,+3.636s
10,25,Thierry BoutsenBOU,Ligier Renault,1:23.357,+3.725s
11,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:23.381,+3.749s
12,30,Ukyo KatayamaKAT,Venturi Lamborghini,1:23.407,+3.775s
13,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:23.511,+3.879s
14,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:23.702,+4.070s
15,26,Erik ComasCOM,Ligier Renault,1:23.732,+4.100s
16,15,Gabriele TarquiniTAR,Fondmetal Ford,1:23.867,+4.235s
17,32,Stefano ModenaMOD,Jordan Yamaha,1:23.870,+4.238s
18,17,Paul BelmondoBEL,March Ilmor,1:23.980,+4.348s
19,22,Pierluigi MartiniMAR,Dallara Ferrari,1:24.009,+4.377s
20,23,Christian FittipaldiFIT,Minardi Lamborghini,1:24.532,+4.900s
21,33,Mauricio GugelminGUG,Jordan Yamaha,1:24.532,+4.900s
22,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:24.745,+5.113s
23,16,Karl WendlingerWEN,March Ilmor,1:24.768,+5.136s
24,14,Andrea ChiesaCHI,Fondmetal Ford,1:24.930,+5.298s
25,28,Ivan CapelliCAP,Ferrari,1:25.207,+5.575s
26,7,Eric van de PoeleVAN,Brabham Judd,1:25.576,+5.944s
27,11,Mika HakkinenHAK,Lotus Ford,1:25.878,+6.246s
28,12,Johnny HerbertHER,Lotus Ford,1:26.325,+6.693s
29,8,Damon HillHIL,Brabham Judd,1:27.581,+7.949s
30,29,Bertrand GachotGAC,Venturi Lamborghini,4:47.778,+28.146s
