Pos,No,Driver,Car,Time,Gap
1,19,Michael SchumacherMSC,Benetton Ford,2:13.261,
2,5,Nigel MansellMAN,Williams Renault,2:13.976,+0.715s
3,2,Gerhard BergerBER,McLaren Honda,2:14.607,+1.346s
4,21,Jyrki JarvilehtoJAR,Dallara Ferrari,2:16.263,+3.002s
5,20,Martin BrundleBRU,Benetton Ford,2:16.438,+3.177s
6,27,Jean AlesiALE,Ferrari,2:16.759,+3.498s
7,9,Michele AlboretoALB,Footwork Mugen Honda,2:18.663,+5.402s
8,32,Stefano ModenaMOD,Jordan Yamaha,2:19.339,+6.078s
9,22,Pierluigi MartiniMAR,Dallara Ferrari,2:19.696,+6.435s
10,10,Aguri SuzukiSUZ,Footwork Mugen Honda,2:19.849,+6.588s
11,11,Mika HakkinenHAK,Lotus Ford,2:20.166,+6.905s
12,1,Ayrton SennaSEN,McLaren Honda,2:20.442,+7.181s
13,12,Johnny HerbertHER,Lotus Ford,2:20.593,+7.332s
14,33,Mauricio GugelminGUG,Jordan Yamaha,2:20.714,+7.453s
15,3,Olivier GrouillardGRO,Tyrrell Ilmor,2:21.208,+7.947s
16,4,Andrea de CesarisDEC,Tyrrell Ilmor,2:21.689,+8.428s
17,29,Bertrand GachotGAC,Venturi Lamborghini,2:23.145,+9.884s
18,25,Thierry BoutsenBOU,Ligier Renault,2:23.456,+10.195s
19,6,Riccardo PatresePAT,Williams Renault,2:24.883,+11.622s
20,24,Gianni MorbidelliMOR,Minardi Lamborghini,2:25.238,+11.977s
21,28,Ivan CapelliCAP,Ferrari,2:27.255,+13.994s
