Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:21.990,
2,6,Riccardo PatresePAT,Williams Renault,1:22.773,+0.783s
3,1,Ayrton SennaSEN,McLaren Honda,1:23.565,+1.575s
4,27,Jean AlesiALE,Ferrari,1:23.742,+1.752s
5,19,Michael SchumacherMSC,Benetton Ford,1:24.188,+2.198s
6,20,Martin BrundleBRU,Benetton Ford,1:24.402,+2.412s
7,28,Ivan CapelliCAP,Ferrari,1:24.802,+2.812s
8,2,Gerhard BergerBER,McLaren Honda,1:24.940,+2.950s
9,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:25.267,+3.277s
10,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:25.405,+3.415s
11,16,Karl WendlingerWEN,March Ilmor,1:25.429,+3.439s
12,9,Michele AlboretoALB,Footwork Mugen Honda,1:25.483,+3.493s
13,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:25.606,+3.616s
14,30,Ukyo KatayamaKAT,Venturi Lamborghini,1:25.675,+3.685s
15,29,Bertrand GachotGAC,Venturi Lamborghini,1:25.855,+3.865s
16,25,Thierry BoutsenBOU,Ligier Renault,1:25.944,+3.954s
17,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:26.082,+4.092s
18,26,Erik ComasCOM,Ligier Renault,1:26.110,+4.120s
19,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:26.182,+4.192s
20,33,Mauricio GugelminGUG,Jordan Yamaha,1:26.235,+4.245s
21,23,Christian FittipaldiFIT,Minardi Lamborghini,1:26.307,+4.317s
22,22,Pierluigi MartiniMAR,Dallara Ferrari,1:26.371,+4.381s
23,32,Stefano ModenaMOD,Jordan Yamaha,1:26.763,+4.773s
24,15,Gabriele TarquiniTAR,Fondmetal Ford,1:27.127,+5.137s
25,17,Paul BelmondoBEL,March Ilmor,1:27.577,+5.587s
26,12,Johnny HerbertHER,Lotus Ford,1:27.582,+5.592s
27,7,Eric van de PoeleVAN,Brabham Judd,1:28.714,+6.724s
28,11,Mika HakkinenHAK,Lotus Ford,1:28.983,+6.993s
29,8,Damon HillHIL,Brabham Judd,1:29.696,+7.706s
30,14,Andrea ChiesaCHI,Fondmetal Ford,1:29.758,+7.768s
