Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:21.082,
2,6,Riccardo PatresePAT,Williams Renault,1:21.787,+0.705s
3,1,Ayrton SennaSEN,McLaren Honda,1:22.371,+1.289s
4,19,Michael SchumacherMSC,Benetton Ford,1:23.739,+2.657s
5,2,Gerhard BergerBER,McLaren Honda,1:24.090,+3.008s
6,11,Mika HakkinenHAK,Lotus Ford,1:24.231,+3.149s
7,20,Martin BrundleBRU,Benetton Ford,1:24.574,+3.492s
8,29,Bertrand GachotGAC,Venturi Lamborghini,1:24.701,+3.619s
9,25,Thierry BoutsenBOU,Ligier Renault,1:24.756,+3.674s
10,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:24.936,+3.854s
11,27,Jean AlesiALE,Ferrari,1:25.069,+3.987s
12,12,Johnny HerbertHER,Lotus Ford,1:25.079,+3.997s
13,28,Ivan CapelliCAP,Ferrari,1:25.205,+4.123s
14,32,Stefano ModenaMOD,Jordan Yamaha,1:25.486,+4.404s
15,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:25.503,+4.421s
16,33,Mauricio GugelminGUG,Jordan Yamaha,1:25.704,+4.622s
17,26,Erik ComasCOM,Ligier Renault,1:25.834,+4.752s
18,9,Michele AlboretoALB,Footwork Mugen Honda,1:25.863,+4.781s
19,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:25.883,+4.801s
20,30,Ukyo KatayamaKAT,Venturi Lamborghini,1:25.990,+4.908s
21,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:26.367,+5.285s
22,15,Gabriele TarquiniTAR,Fondmetal Ford,1:26.676,+5.594s
23,16,Karl WendlingerWEN,March Ilmor,1:26.795,+5.713s
24,17,Paul BelmondoBEL,March Ilmor,1:26.915,+5.833s
25,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:27.087,+6.005s
26,22,Pierluigi MartiniMAR,Dallara Ferrari,1:27.236,+6.154s
27,23,Alessandro ZanardiZAN,Minardi Lamborghini,1:27.412,+6.330s
28,8,Damon HillHIL,Brabham Judd,1:27.579,+6.497s
29,7,Eric van de PoeleVAN,Brabham Judd,1:28.501,+7.419s
