Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:15.804,
2,1,Ayrton SennaSEN,McLaren Honda,1:17.211,+1.407s
3,6,Riccardo PatresePAT,Williams Renault,1:17.337,+1.533s
4,2,Gerhard BergerBER,McLaren Honda,1:17.749,+1.945s
5,27,Jean AlesiALE,Ferrari,1:18.087,+2.283s
6,19,Michael SchumacherMSC,Benetton Ford,1:18.163,+2.359s
7,28,Ivan CapelliCAP,Ferrari,1:18.725,+2.921s
8,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:18.810,+3.006s
9,20,Martin BrundleBRU,Benetton Ford,1:18.933,+3.129s
10,16,Karl WendlingerWEN,March Ilmor,1:19.076,+3.272s
11,25,Thierry BoutsenBOU,Ligier Renault,1:19.338,+3.534s
12,9,Michele AlboretoALB,Footwork Mugen Honda,1:19.594,+3.790s
13,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:19.624,+3.820s
14,12,Johnny HerbertHER,Lotus Ford,1:19.729,+3.925s
15,15,Gabriele TarquiniTAR,Fondmetal Ford,1:19.798,+3.994s
16,23,Christian FittipaldiFIT,Minardi Lamborghini,1:19.864,+4.060s
17,33,Mauricio GugelminGUG,Jordan Yamaha,1:19.984,+4.180s
18,26,Erik ComasCOM,Ligier Renault,1:20.035,+4.231s
19,30,Ukyo KatayamaKAT,Venturi Lamborghini,1:20.642,+4.838s
20,22,Pierluigi MartiniMAR,Dallara Ferrari,1:20.681,+4.877s
21,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:21.060,+5.256s
22,14,Andrea ChiesaCHI,Fondmetal Ford,1:21.210,+5.406s
23,32,Stefano ModenaMOD,Jordan Yamaha,1:21.233,+5.429s
24,17,Paul BelmondoBEL,March Ilmor,1:21.391,+5.587s
25,11,Mika HakkinenHAK,Lotus Ford,1:21.529,+5.725s
26,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:21.567,+5.763s
27,7,Eric van de PoeleVAN,Brabham Judd,1:21.664,+5.860s
28,8,Giovanna AmatiAMA,Brabham Judd,1:23.345,+7.541s
29,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:24.311,+8.507s
30,29,Bertrand GachotGAC,Venturi Lamborghini,1:26.833,+11.029s
