Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:13.635,
2,6,Riccardo PatresePAT,Williams Renault,1:13.755,+0.120s
3,2,Gerhard BergerBER,McLaren Honda,1:14.690,+1.055s
4,1,Ayrton SennaSEN,McLaren Honda,1:15.276,+1.641s
5,19,Michael SchumacherMSC,Benetton Ford,1:15.594,+1.959s
6,20,Martin BrundleBRU,Benetton Ford,1:16.341,+2.706s
7,11,Mika HakkinenHAK,Lotus Ford,1:16.469,+2.834s
8,12,Johnny HerbertHER,Lotus Ford,1:16.872,+3.237s
9,24,Gianni MorbidelliMOR,Minardi Lamborghini,1:17.114,+3.479s
10,27,Jean AlesiALE,Ferrari,1:17.115,+3.480s
11,25,Thierry BoutsenBOU,Ligier Renault,1:17.148,+3.513s
12,30,Ukyo KatayamaKAT,Venturi Lamborghini,1:17.416,+3.781s
13,9,Michele AlboretoALB,Footwork Mugen Honda,1:17.416,+3.781s
14,16,Karl WendlingerWEN,March Ilmor,1:17.534,+3.899s
15,4,Andrea de CesarisDEC,Tyrrell Ilmor,1:17.592,+3.957s
16,28,Ivan CapelliCAP,Ferrari,1:17.705,+4.070s
17,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:17.719,+4.084s
18,26,Erik ComasCOM,Ligier Renault,1:17.733,+4.098s
19,17,Emanuele NaspettiNAS,March Ilmor,1:18.146,+4.511s
20,29,Bertrand GachotGAC,Venturi Lamborghini,1:18.390,+4.755s
21,32,Stefano ModenaMOD,Jordan Yamaha,1:18.480,+4.845s
22,33,Mauricio GugelminGUG,Jordan Yamaha,1:18.503,+4.868s
23,21,Jyrki JarvilehtoJAR,Dallara Ferrari,1:18.538,+4.903s
24,3,Olivier GrouillardGRO,Tyrrell Ilmor,1:18.760,+5.125s
25,22,Pierluigi MartiniMAR,Dallara Ferrari,1:19.173,+5.538s
26,23,Christian FittipaldiFIT,Minardi Lamborghini,1:19.533,+5.898s
