Pos,No,Driver,Car,Time,Gap,Laps
1,6,Nico RosbergROS,Mercedes,1:25.887,,16
2,44,Lewis HamiltonHAM,Mercedes,1:26.756,+0.869s,9
3,14,Fernando AlonsoALO,Ferrari,1:27.188,+1.301s,15
4,19,Felipe MassaMAS,Williams Mercedes,1:27.223,+1.336s,10
5,8,Romain GrosjeanGRO,Lotus Renault,1:27.682,+1.795s,18
6,20,Kevin MagnussenMAG,McLaren Mercedes,1:27.806,+1.919s,16
7,3,Daniel RicciardoRIC,Red Bull Racing Renault,1:27.808,+1.921s,12
8,22,Jenson ButtonBUT,McLaren Mercedes,1:28.006,+2.119s,11
9,13,Pastor MaldonadoMAL,Lotus Renault,1:28.076,+2.189s,19
10,1,Sebastian VettelVET,Red Bull Racing Renault,1:28.085,+2.198s,20
11,77,Valtteri BottasBOT,Williams Mercedes,1:28.101,+2.214s,12
12,25,Jean-Eric VergneVER,STR Renault,1:28.242,+2.355s,16
13,26,Daniil KvyatKVY,STR Renault,1:28.298,+2.411s,16
14,7,Kimi RäikkönenRAI,Ferrari,1:28.419,+2.532s,16
15,11,Sergio PerezPER,Force India Mercedes,1:28.571,+2.684s,13
16,27,Nico HulkenbergHUL,Force India Mercedes,1:28.668,+2.781s,13
17,99,Adrian SutilSUT,Sauber Ferrari,1:28.715,+2.828s,16
18,21,Esteban Gutierrez GUT,Sauber Ferrari,1:28.865,+2.978s,18
19,4,Max ChiltonCHI,Marussia Ferrari,1:30.169,+4.282s,15
20,17,Jules BianchiBIA,Marussia Ferrari,1:30.670,+4.783s,12
21,10,Kamui KobayashiKOB,Caterham Renault,1:30.712,+4.825s,18
22,9,Marcus EricssonERI,Caterham Renault,1:31.559,+5.672s,19
