Pos,No,Driver,Car,Time,Gap,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:15.610,,18
2,19,Felipe MassaMAS,Williams Mercedes,1:16.086,+0.476s,16
3,6,Nico RosbergROS,Mercedes,1:16.120,+0.510s,20
4,14,Fernando AlonsoALO,Ferrari,1:16.488,+0.878s,15
5,3,Daniel RicciardoRIC,Red Bull Racing Renault,1:16.504,+0.894s,15
6,7,Kimi RäikkönenRAI,Ferrari,1:16.528,+0.918s,22
7,77,Valtteri BottasBOT,Williams Mercedes,1:16.684,+1.074s,20
8,26,Daniil KvyatKVY,STR Renault,1:16.820,+1.210s,21
9,25,Jean-Eric VergneVER,STR Renault,1:16.824,+1.214s,19
10,1,Sebastian VettelVET,Red Bull Racing Renault,1:16.884,+1.274s,15
11,27,Nico HulkenbergHUL,Force India Mercedes,1:16.944,+1.334s,17
12,20,Kevin MagnussenMAG,McLaren Mercedes,1:16.993,+1.383s,19
13,8,Romain GrosjeanGRO,Lotus Renault,1:17.121,+1.511s,21
14,11,Sergio PerezPER,Force India Mercedes,1:17.188,+1.578s,19
15,13,Pastor MaldonadoMAL,Lotus Renault,1:17.224,+1.614s,21
16,22,Jenson ButtonBUT,McLaren Mercedes,1:17.360,+1.750s,23
17,99,Adrian SutilSUT,Sauber Ferrari,1:17.900,+2.290s,23
18,17,Jules BianchiBIA,Marussia Ferrari,1:18.518,+2.908s,25
19,4,Max ChiltonCHI,Marussia Ferrari,1:18.525,+2.915s,19
20,9,Marcus EricssonERI,Caterham Renault,1:19.865,+4.255s,23
21,10,Kamui KobayashiKOB,Caterham Renault,1:20.227,+4.617s,14
22,21,Esteban Gutierrez GUT,Sauber Ferrari,1:22.388,+6.778s,6
