Pos,No,Driver,Car,Time,Gap,Laps
1,35,Anthony DavidsonDAV,BAR Honda,1:35.369,,22
2,4,Ralf SchumacherRSC,Williams BMW,1:35.455,+0.086s,13
3,3,Juan Pablo MontoyaMOY,Williams BMW,1:35.761,+0.392s,13
4,12,Felipe MassaMAS,Sauber Petronas,1:36.086,+0.717s,12
5,38,Ryan BriscoeBRI,Toyota,1:36.394,+1.025s,21
6,9,Jenson ButtonBUT,BAR Honda,1:36.475,+1.106s,11
7,2,Rubens BarrichelloBAR,Ferrari,1:36.660,+1.291s,14
8,8,Fernando AlonsoALO,Renault,1:36.884,+1.515s,15
9,11,Giancarlo FisichellaFIS,Sauber Petronas,1:36.944,+1.575s,9
10,16,Ricardo ZontaZON,Toyota,1:36.970,+1.601s,16
11,6,Kimi RäikkönenRAI,McLaren Mercedes,1:37.102,+1.733s,5
12,37,Bjorn WirdheimWIR,Jaguar Cosworth,1:37.142,+1.773s,19
13,17,Olivier PanisPAN,Toyota,1:37.191,+1.822s,14
14,7,Jacques VilleneuveVIL,Renault,1:37.240,+1.871s,20
15,1,Michael SchumacherMSC,Ferrari,1:37.300,+1.931s,11
16,10,Takuma SatoSAT,BAR Honda,1:37.438,+2.069s,9
17,19,Timo GlockGLO,Jordan Ford,1:37.587,+2.218s,15
18,5,David CoulthardCOU,McLaren Mercedes,1:37.976,+2.607s,5
19,18,Nick HeidfeldHEI,Jordan Ford,1:38.132,+2.763s,14
20,15,Christian KlienKLI,Jaguar Cosworth,1:38.504,+3.135s,15
21,14,Mark WebberWEB,Jaguar Cosworth,1:38.761,+3.392s,11
22,20,Gianmaria BruniBRU,Minardi Cosworth,1:38.805,+3.436s,13
23,39,Robert DoornbosDOO,Jordan Ford,1:39.244,+3.875s,23
24,40,Bas LeindersLEI,Minardi Cosworth,1:39.529,+4.160s,15
25,21,Zsolt BaumgartnerBAU,Minardi Cosworth,1:42.795,+7.426s,12
