Pos,No,Driver,Car,Time
1,44,Lewis HamiltonHAM,Mercedes,1:53.860
2,3,Daniel RicciardoRIC,Red Bull Racing Renault,1:54.455
3,1,Sebastian VettelVET,Red Bull Racing Renault,1:54.960
4,6,Nico RosbergROS,Mercedes,1:55.143
5,14,Fernando AlonsoALO,Ferrari,1:55.637
6,19,Felipe MassaMAS,Williams Mercedes,1:56.147
7,77,Valtteri BottasBOT,Williams Mercedes,1:56.282
8,27,Nico HulkenbergHUL,Force India Mercedes,1:56.366
9,25,Jean-Eric VergneVER,STR Renault,1:56.773
10,8,Romain GrosjeanGRO,Lotus Renault,1:57.079
11,7,Kimi RäikkönenRAI,Ferrari,1:56.860
12,22,Jenson ButtonBUT,McLaren Mercedes,1:56.963
13,26,Daniil KvyatKVY,STR Renault,1:57.289
14,99,Adrian SutilSUT,Sauber Ferrari,1:57.393
15,20,Kevin MagnussenMAG,McLaren Mercedes,1:57.675
16,11,Sergio PerezPER,Force India Mercedes,1:58.264
17,21,Esteban Gutierrez GUT,Sauber Ferrari,1:58.988
18,10,Kamui KobayashiKOB,Caterham Renault,1:59.260
19,17,Jules BianchiBIA,Marussia Ferrari,1:59.326
20,9,Marcus EricssonERI,Caterham Renault,2:00.646
21,4,Max ChiltonCHI,Marussia Ferrari,2:00.865
22,13,Pastor MaldonadoMAL,Lotus Renault,
