Pos,No,Driver,Car,Time
1,6,Nico RosbergROS,Mercedes,2:05.591
2,44,Lewis HamiltonHAM,Mercedes,2:05.819
3,1,Sebastian VettelVET,Red Bull Racing Renault,2:07.717
4,14,Fernando AlonsoALO,Ferrari,2:07.786
5,3,Daniel RicciardoRIC,Red Bull Racing Renault,2:07.911
6,77,Valtteri BottasBOT,Williams Mercedes,2:08.049
7,20,Kevin MagnussenMAG,McLaren Mercedes,2:08.679
8,7,Kimi RäikkönenRAI,Ferrari,2:08.780
9,19,Felipe MassaMAS,Williams Mercedes,2:09.178
10,22,Jenson ButtonBUT,McLaren Mercedes,2:09.776
11,26,Daniil KvyatKVY,STR Renault,2:09.377
12,25,Jean-Eric VergneVER,STR Renault,2:09.805
13,11,Sergio PerezPER,Force India Mercedes,2:10.084
14,99,Adrian SutilSUT,Sauber Ferrari,2:10.238
15,8,Romain GrosjeanGRO,Lotus Renault,2:11.087
16,17,Jules BianchiBIA,Marussia Ferrari,2:12.470
17,13,Pastor MaldonadoMAL,Lotus Renault,2:11.261
18,27,Nico HulkenbergHUL,Force India Mercedes,2:11.267
19,4,Max ChiltonCHI,Marussia Ferrari,2:12.566
20,21,Esteban Gutierrez GUT,Sauber Ferrari,2:13.414
21,45,Andre LottererLOT,Caterham Renault,2:13.469
22,9,Marcus EricssonERI,Caterham Renault,2:14.438
