Pos,No,Driver,Car,Time
1,44,Lewis HamiltonHAM,Mercedes,1:44.231
2,3,Daniel RicciardoRIC,Red Bull Racing Renault,1:44.548
3,6,Nico RosbergROS,Mercedes,1:44.595
4,20,Kevin MagnussenMAG,McLaren Mercedes,1:45.745
5,14,Fernando AlonsoALO,Ferrari,1:45.819
6,25,Jean-Eric VergneVER,STR Renault,1:45.864
7,27,Nico HulkenbergHUL,Force India Mercedes,1:46.030
8,26,Daniil KvyatKVY,STR Renault,1:47.368
9,19,Felipe MassaMAS,Williams Mercedes,1:48.079
10,22,Jenson ButtonBUT,McLaren Mercedes,1:44.437
11,7,Kimi RäikkönenRAI,Ferrari,1:44.494
12,1,Sebastian VettelVET,Red Bull Racing Renault,1:44.668
13,99,Adrian SutilSUT,Sauber Ferrari,1:45.655
14,10,Kamui KobayashiKOB,Caterham Renault,1:45.867
15,77,Valtteri BottasBOT,Williams Mercedes,1:48.147
16,11,Sergio PerezPER,Force India Mercedes,1:47.293
17,4,Max ChiltonCHI,Marussia Ferrari,1:34.293
18,17,Jules BianchiBIA,Marussia Ferrari,1:34.794
19,9,Marcus EricssonERI,Caterham Renault,1:35.157
20,21,Esteban Gutierrez GUT,Sauber Ferrari,1:35.117
21,13,Pastor MaldonadoMAL,Lotus Renault,
