Pos,No,Driver,Car,Time
1,6,Nico RosbergROS,Mercedes,1:40.480
2,44,Lewis HamiltonHAM,Mercedes,1:40.866
3,77,Valtteri BottasBOT,Williams Mercedes,1:41.025
4,19,Felipe MassaMAS,Williams Mercedes,1:41.119
5,26,Daniil KvyatKVY,STR Renault,1:41.908
6,22,Jenson ButtonBUT,McLaren Mercedes,1:41.964
7,7,Kimi RäikkönenRAI,Ferrari,1:42.236
8,14,Fernando AlonsoALO,Ferrari,1:42.866
9,20,Kevin MagnussenMAG,McLaren Mercedes,1:42.198
10,25,Jean-Eric VergneVER,STR Renault,1:42.207
11,11,Sergio PerezPER,Force India Mercedes,1:42.239
12,27,Nico HulkenbergHUL,Force India Mercedes,1:42.384
13,99,Adrian SutilSUT,Sauber Ferrari,1:43.074
14,21,Esteban Gutierrez GUT,Sauber Ferrari,1:42.819
15,13,Pastor MaldonadoMAL,Lotus Renault,1:42.860
16,10,Kamui KobayashiKOB,Caterham Renault,1:44.540
17,46,Will StevensSTE,Caterham Renault,1:45.095
18,8,Romain GrosjeanGRO,Lotus Renault,1:42.768
