Pos,No,Driver,Car,Time
1,44,Lewis HamiltonHAM,Mercedes,1:38.513
2,6,Nico RosbergROS,Mercedes,1:38.713
3,77,Valtteri BottasBOT,Williams Mercedes,1:38.920
4,22,Jenson ButtonBUT,McLaren Mercedes,1:39.121
5,26,Daniil KvyatKVY,STR Renault,1:39.277
6,3,Daniel RicciardoRIC,Red Bull Racing Renault,1:39.635
7,14,Fernando AlonsoALO,Ferrari,1:39.709
8,7,Kimi RäikkönenRAI,Ferrari,1:39.771
9,25,Jean-Eric VergneVER,STR Renault,1:40.020
10,1,Sebastian VettelVET,Red Bull Racing Renault,1:40.052
11,20,Kevin MagnussenMAG,McLaren Mercedes,1:39.629
12,11,Sergio PerezPER,Force India Mercedes,1:40.163
13,21,Esteban Gutierrez GUT,Sauber Ferrari,1:40.536
14,99,Adrian SutilSUT,Sauber Ferrari,1:40.984
15,8,Romain GrosjeanGRO,Lotus Renault,1:41.397
16,9,Marcus EricssonERI,Caterham Renault,1:42.648
17,27,Nico HulkenbergHUL,Force India Mercedes,1:40.058
18,19,Felipe MassaMAS,Williams Mercedes,1:43.064
19,10,Kamui KobayashiKOB,Caterham Renault,1:43.166
20,4,Max ChiltonCHI,Marussia Ferrari,1:43.649
21,13,Pastor MaldonadoMAL,Lotus Renault,1:43.205
