Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,19,32:04.660,8
2,44,Lewis HamiltonHAM,Mercedes,19,+13.043s,7
3,11,Sergio PerezPER,Red Bull Racing Honda RBPT,19,+15.258s,6
4,16,Charles LeclercLEC,Ferrari,19,+17.486s,5
5,55,Carlos SainzSAI,Ferrari,19,+20.696s,4
6,4,Lando NorrisNOR,McLaren Mercedes,19,+22.088s,3
7,81,Oscar PiastriPIA,McLaren Mercedes,19,+24.713s,2
8,63,George RussellRUS,Mercedes,19,+25.696s,1
9,24,Zhou GuanyuZHO,Kick Sauber Ferrari,19,+31.951s,0
10,20,Kevin MagnussenMAG,Haas Ferrari,19,+37.398s,0
11,3,Daniel RicciardoRIC,RB Honda RBPT,19,+37.840s,0
12,77,Valtteri BottasBOT,Kick Sauber Ferrari,19,+38.295s,0
13,31,Esteban OconOCO,Alpine Renault,19,+39.841s,0
14,18,Lance StrollSTR,Aston Martin Aramco Mercedes,19,+40.299s,0
15,10,Pierre GaslyGAS,Alpine Renault,19,+40.838s,0
16,22,Yuki TsunodaTSU,RB Honda RBPT,19,+41.870s,0
17,23,Alexander AlbonALB,Williams Mercedes,19,+42.998s,0
18,2,Logan SargeantSAR,Williams Mercedes,19,+46.352s,0
19,27,Nico HulkenbergHUL,Haas Ferrari,19,+49.630s,0
20,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,17,DNF,0
