Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,19,31:06.146,8
2,55,Carlos SainzSAI,Ferrari,19,+3.882s,7
3,4,Lando NorrisNOR,McLaren Mercedes,19,+6.240s,6
4,16,Charles LeclercLEC,Ferrari,19,+6.956s,5
5,63,George RussellRUS,Mercedes,19,+15.766s,4
6,44,Lewis HamiltonHAM,Mercedes,19,+18.724s,3
7,20,Kevin MagnussenMAG,Haas Ferrari,19,+25.161s,2
8,27,Nico HulkenbergHUL,Haas Ferrari,19,+26.588s,1
9,11,Sergio PerezPER,Red Bull Racing Honda RBPT,19,+29.950s,0
10,81,Oscar PiastriPIA,McLaren Mercedes,19,+37.059s,0
11,22,Yuki TsunodaTSU,RB Honda RBPT,19,+38.363s,0
12,43,Franco ColapintoCOL,Williams Mercedes,19,+39.460s,0
13,18,Lance StrollSTR,Aston Martin Aramco Mercedes,19,+41.236s,0
14,10,Pierre GaslyGAS,Alpine Renault,19,+41.995s,0
15,31,Esteban OconOCO,Alpine Renault,19,+42.804s,0
16,30,Liam LawsonLAW,RB Honda RBPT,19,+44.008s,0
17,23,Alexander AlbonALB,Williams Mercedes,19,+44.564s,0
18,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,19,+46.807s,0
19,24,Zhou GuanyuZHO,Kick Sauber Ferrari,19,+52.842s,0
20,77,Valtteri BottasBOT,Kick Sauber Ferrari,19,+54.476s,0
