Pos,No,Driver,Car,Laps,Time/retired,Pts
1,81,Oscar PiastriPIA,McLaren Mercedes,19,27:03.010,8
2,4,Lando NorrisNOR,McLaren Mercedes,19,+0.136s,7
3,63,George RussellRUS,Mercedes,19,+0.410s,6
4,55,Carlos SainzSAI,Ferrari,19,+1.326s,5
5,16,Charles LeclercLEC,Ferrari,19,+5.073s,4
6,44,Lewis HamiltonHAM,Mercedes,19,+5.650s,3
7,27,Nico HulkenbergHUL,Haas Ferrari,19,+8.508s,2
8,1,Max VerstappenVER,Red Bull Racing Honda RBPT,19,+10.368s,1
9,10,Pierre GaslyGAS,Alpine Renault,19,+14.513s,0
10,20,Kevin MagnussenMAG,Haas Ferrari,19,+15.485s,0
11,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,19,+19.204s,0
12,77,Valtteri BottasBOT,Kick Sauber Ferrari,19,+23.351s,0
13,18,Lance StrollSTR,Aston Martin Aramco Mercedes,19,+24.421s,0
14,31,Esteban OconOCO,Alpine Renault,19,+30.379s,0
15,23,Alexander AlbonALB,Williams Mercedes,19,+33.062s,0
16,30,Liam LawsonLAW,RB Honda RBPT,19,+34.356s,0
17,22,Yuki TsunodaTSU,RB Honda RBPT,19,+35.102s,0
18,43,Franco ColapintoCOL,Williams Mercedes,19,+35.639s,0
19,24,Zhou GuanyuZHO,Kick Sauber Ferrari,19,+71.436s,0
20,11,Sergio PerezPER,Red Bull Racing Honda RBPT,19,+74.371s,0
