Pos,No,Driver,Car,Laps,Time/retired,Pts
1,4,Lando NorrisNOR,McLaren Mercedes,24,29:46.045,8
2,81,Oscar PiastriPIA,McLaren Mercedes,24,+0.593s,7
3,16,Charles LeclercLEC,Ferrari,24,+5.656s,6
4,1,Max VerstappenVER,Red Bull Racing Honda RBPT,24,+6.497s,5
5,55,Carlos SainzSAI,Ferrari,24,+7.224s,4
6,63,George RussellRUS,Mercedes,24,+12.475s,3
7,10,Pierre GaslyGAS,Alpine Renault,24,+18.161s,2
8,11,Sergio PerezPER,Red Bull Racing Honda RBPT,24,+18.717s,1
9,30,Liam LawsonLAW,RB Honda RBPT,24,+20.773s,0
10,23,Alexander AlbonALB,Williams Mercedes,24,+24.606s,0
11,44,Lewis HamiltonHAM,Mercedes,24,+29.764s,0
12,43,Franco ColapintoCOL,Williams Mercedes,24,+33.233s,0
13,31,Esteban OconOCO,Alpine Renault,24,+34.128s,0
14,50,Oliver BearmanBEA,Haas Ferrari,24,+35.507s,0
15,22,Yuki TsunodaTSU,RB Honda RBPT,24,+41.374s,0
16,77,Valtteri BottasBOT,Kick Sauber Ferrari,24,+43.231s,0
17,24,Zhou GuanyuZHO,Kick Sauber Ferrari,24,+54.139s,0
18,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,24,+56.537s,0
19,18,Lance StrollSTR,Aston Martin Aramco Mercedes,24,+57.983s,0
NC,27,Nico HulkenbergHUL,Haas Ferrari,19,DNF,0
