Pos,No,Driver,Car,Time,Gap,Laps
1,1,Max VerstappenVER,Red Bull Racing RBPT,1:32.272,,23
2,55,Carlos SainzSAI,Ferrari,1:32.626,+0.354s,14
3,16,Charles LeclercLEC,Ferrari,1:32.909,+0.637s,20
4,44,Lewis HamiltonHAM,Mercedes,1:33.255,+0.983s,22
5,11,Sergio PerezPER,Red Bull Racing RBPT,1:33.293,+1.021s,25
6,63,George RussellRUS,Mercedes,1:33.376,+1.104s,18
7,14,Fernando AlonsoALO,Alpine Renault,1:33.505,+1.233s,18
8,23,Alexander AlbonALB,Williams Mercedes,1:33.558,+1.286s,19
9,4,Lando NorrisNOR,McLaren Mercedes,1:33.669,+1.397s,16
10,22,Yuki TsunodaTSU,AlphaTauri RBPT,1:33.751,+1.479s,19
11,3,Daniel RicciardoRIC,McLaren Mercedes,1:33.788,+1.516s,17
12,6,Nicholas LatifiLAT,Williams Mercedes,1:33.841,+1.569s,16
13,10,Pierre GaslyGAS,AlphaTauri RBPT,1:33.869,+1.597s,18
14,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:33.872,+1.600s,20
15,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:33.911,+1.639s,19
16,20,Kevin MagnussenMAG,Haas Ferrari,1:34.031,+1.759s,23
17,31,Esteban OconOCO,Alpine Renault,1:34.122,+1.850s,18
18,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:34.177,+1.905s,20
19,47,Mick SchumacherMSC,Haas Ferrari,1:34.222,+1.950s,12
20,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,1:34.536,+2.264s,11
